municipio,año,numcasos,ciclo_vital_adolescencia,ciclo_vital_adulto,ciclo_vital_adulto_mayor,ciclo_vital_ancianidad,ciclo_vital_infancia,ciclo_vital_menor_de_1_año,ciclo_vital_primera_infancia,regimen_salud_contributivo,regimen_salud_especial,regimen_salud_excepción,regimen_salud_indeterminado,regimen_salud_no_asegurado,regimen_salud_subsidiado,evento_clasico,evento_grave,hospitalizado_no,hospitalizado_si,desenlace_fallecido,desenlace_vivo,sexo_femenino,sexo_masculino,subregion_centro,subregion_costera,subregion_metropolitana,subregion_oriental,subregion_sur,area_cabecera_municipal,area_centro_poblado,area_rural_disperso,tipo_caso_conf_por_laboratorio,tipo_caso_conf_por_nexo,tipo_caso_probable,periodo_1,periodo_2,periodo_3,periodo_4,periodo_5,periodo_6,periodo_7,periodo_8,periodo_9,periodo_10,periodo_11,periodo_12,periodo_13
BARANOA,2017,7,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.5714285714285714,1.0,0.0,0.2857142857142857,0.7142857142857143,0.0,1.0,0.2857142857142857,0.7142857142857143,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285
BARANOA,2018,162,0.47530864197530864,0.1111111111111111,0.018518518518518517,0.0,0.2777777777777778,0.0,0.11728395061728394,0.3950617283950617,0.018518518518518517,0.0,0.0,0.012345679012345678,0.5740740740740741,0.9753086419753086,0.024691358024691357,0.2037037037037037,0.7962962962962963,0.006172839506172839,0.9938271604938271,0.5061728395061729,0.49382716049382713,1.0,0.0,0.0,0.0,0.0,0.9814814814814815,0.012345679012345678,0.006172839506172839,0.2777777777777778,0.006172839506172839,0.7160493827160493,0.0,0.006172839506172839,0.0,0.006172839506172839,0.006172839506172839,0.012345679012345678,0.018518518518518517,0.043209876543209874,0.06790123456790123,0.19753086419753085,0.14814814814814814,0.16049382716049382,0.3333333333333333
BARANOA,2019,395,0.5189873417721519,0.07848101265822785,0.015189873417721518,0.002531645569620253,0.2936708860759494,0.002531645569620253,0.08860759493670886,0.24050632911392406,0.010126582278481013,0.007594936708860759,0.002531645569620253,0.010126582278481013,0.7291139240506329,0.979746835443038,0.020253164556962026,0.04810126582278481,0.9518987341772152,0.0,1.0,0.4708860759493671,0.529113924050633,1.0,0.0,0.0,0.0,0.0,0.9493670886075949,0.05063291139240506,0.0,0.12658227848101267,0.0,0.8734177215189873,0.13924050632911392,0.0379746835443038,0.04810126582278481,0.005063291139240506,0.012658227848101266,0.007594936708860759,0.015189873417721518,0.0379746835443038,0.06835443037974684,0.10632911392405063,0.13670886075949368,0.16962025316455695,0.21518987341772153
BARANOA,2020,170,0.43529411764705883,0.1,0.01764705882352941,0.0058823529411764705,0.3411764705882353,0.0058823529411764705,0.09411764705882353,0.23529411764705882,0.0,0.011764705882352941,0.0,0.058823529411764705,0.6941176470588235,0.9823529411764705,0.01764705882352941,0.3,0.7,0.0,1.0,0.5764705882352941,0.4235294117647059,1.0,0.0,0.0,0.0,0.0,0.7823529411764706,0.16470588235294117,0.052941176470588235,0.07058823529411765,0.0058823529411764705,0.9235294117647059,0.3941176470588235,0.18235294117647058,0.047058823529411764,0.023529411764705882,0.0,0.0058823529411764705,0.0,0.041176470588235294,0.07058823529411765,0.041176470588235294,0.052941176470588235,0.06470588235294118,0.07647058823529412
BARANOA,2021,109,0.5504587155963303,0.07339449541284404,0.01834862385321101,0.009174311926605505,0.28440366972477066,0.0,0.06422018348623854,0.27522935779816515,0.0,0.027522935779816515,0.009174311926605505,0.009174311926605505,0.6788990825688074,0.9724770642201835,0.027522935779816515,0.22018348623853212,0.7798165137614679,0.0,1.0,0.5137614678899083,0.48623853211009177,1.0,0.0,0.0,0.0,0.0,0.944954128440367,0.03669724770642202,0.01834862385321101,0.1834862385321101,0.0,0.8165137614678899,0.03669724770642202,0.009174311926605505,0.0,0.009174311926605505,0.0,0.0,0.009174311926605505,0.01834862385321101,0.08256880733944955,0.22018348623853212,0.1651376146788991,0.26605504587155965,0.1834862385321101
BARANOA,2022,96,0.3854166666666667,0.23958333333333334,0.0625,0.0,0.22916666666666666,0.0,0.08333333333333333,0.3333333333333333,0.0,0.041666666666666664,0.0,0.020833333333333332,0.6041666666666666,0.9895833333333334,0.010416666666666666,0.1875,0.8125,0.0,1.0,0.3541666666666667,0.6458333333333334,1.0,0.0,0.0,0.0,0.0,0.7395833333333334,0.14583333333333334,0.11458333333333333,0.1875,0.0,0.8125,0.0625,0.010416666666666666,0.010416666666666666,0.0,0.010416666666666666,0.052083333333333336,0.041666666666666664,0.15625,0.125,0.11458333333333333,0.1875,0.15625,0.07291666666666667
BARANOA,2023,89,0.4943820224719101,0.21348314606741572,0.0449438202247191,0.011235955056179775,0.16853932584269662,0.011235955056179775,0.056179775280898875,0.29213483146067415,0.033707865168539325,0.011235955056179775,0.0,0.0,0.6629213483146067,0.9887640449438202,0.011235955056179775,0.2808988764044944,0.7191011235955056,0.0,1.0,0.5168539325842697,0.48314606741573035,1.0,0.0,0.0,0.0,0.0,0.9775280898876404,0.02247191011235955,0.0,0.2696629213483146,0.0,0.7303370786516854,0.1348314606741573,0.033707865168539325,0.02247191011235955,0.033707865168539325,0.02247191011235955,0.033707865168539325,0.02247191011235955,0.12359550561797752,0.06741573033707865,0.1348314606741573,0.0449438202247191,0.16853932584269662,0.15730337078651685
CAMPO DE LA CRUZ,2017,4,0.0,0.25,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.25,0.0,1.0,0.75,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0
CAMPO DE LA CRUZ,2019,30,0.5333333333333333,0.16666666666666666,0.0,0.0,0.06666666666666667,0.03333333333333333,0.2,0.1,0.0,0.0,0.0,0.03333333333333333,0.8666666666666667,0.9666666666666667,0.03333333333333333,0.3,0.7,0.0,1.0,0.43333333333333335,0.5666666666666667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.26666666666666666,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.23333333333333334,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666
CAMPO DE LA CRUZ,2020,6,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,0.0,0.5,0.5,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
