municipio,año,periodo,semana,numcasos,ciclo_vital_adolescencia,ciclo_vital_adulto,ciclo_vital_adulto_mayor,ciclo_vital_ancianidad,ciclo_vital_infancia,ciclo_vital_menor_de_1_año,ciclo_vital_primera_infancia,regimen_salud_contributivo,regimen_salud_especial,regimen_salud_excepción,regimen_salud_indeterminado,regimen_salud_no_asegurado,regimen_salud_subsidiado,evento_clasico,evento_grave,hospitalizado_no,hospitalizado_si,desenlace_fallecido,desenlace_vivo,sexo_femenino,sexo_masculino,subregion_centro,subregion_costera,subregion_metropolitana,subregion_oriental,subregion_sur,area_cabecera_municipal,area_centro_poblado,area_rural_disperso,tipo_caso_conf_por_laboratorio,tipo_caso_conf_por_nexo,tipo_caso_probable
BARANOA,2018,6,24,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2018,7,26,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2018,7,27,2,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2018,8,29,3,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666
BARANOA,2018,8,30,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2018,8,31,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
BARANOA,2018,8,32,2,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5
BARANOA,2018,9,34,2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5
BARANOA,2018,9,35,4,0.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.75,1.0,0.0,0.25,0.75,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5
BARANOA,2018,9,36,5,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.2,0.8,0.0,1.0,0.4,0.6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.6
BARANOA,2018,10,37,5,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.4,1.0,0.0,0.0,1.0,0.0,1.0,0.6,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.6
BARANOA,2018,10,38,5,0.6,0.0,0.0,0.0,0.2,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,1.0,0.0,1.0,0.6,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.6
BARANOA,2018,10,39,12,0.4166666666666667,0.08333333333333333,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.5,0.9166666666666666,0.08333333333333333,0.16666666666666666,0.8333333333333334,0.0,1.0,0.8333333333333334,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666
BARANOA,2018,10,40,10,0.5,0.2,0.0,0.0,0.1,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.6,0.9,0.1,0.3,0.7,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.7
BARANOA,2018,11,41,9,0.7777777777777778,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.4444444444444444,0.5555555555555556,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.7777777777777778
BARANOA,2018,11,42,4,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.25,0.75,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.75
BARANOA,2018,11,43,5,0.6,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.2,0.8,0.0,1.0,0.4,0.6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2018,11,44,6,0.6666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.16666666666666666,0.8333333333333334,0.0,1.0,0.8333333333333334,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334
BARANOA,2018,12,45,8,0.625,0.25,0.0,0.0,0.125,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,1.0,0.0,1.0,0.375,0.625,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5
BARANOA,2018,12,46,2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2018,12,47,8,0.5,0.0,0.0,0.0,0.375,0.0,0.125,0.375,0.125,0.0,0.0,0.0,0.5,1.0,0.0,0.25,0.75,0.0,1.0,0.125,0.875,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.75
BARANOA,2018,12,48,8,0.5,0.375,0.0,0.0,0.125,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.375,1.0,0.0,0.5,0.5,0.0,1.0,0.25,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.0,0.875
BARANOA,2018,13,49,12,0.5833333333333334,0.16666666666666666,0.0,0.0,0.08333333333333333,0.0,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.4166666666666667,0.5833333333333334,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666
BARANOA,2018,13,50,15,0.4,0.06666666666666667,0.0,0.0,0.3333333333333333,0.0,0.2,0.26666666666666666,0.0,0.0,0.0,0.0,0.7333333333333333,1.0,0.0,0.06666666666666667,0.9333333333333333,0.0,1.0,0.6,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.8
BARANOA,2018,13,51,12,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.08333333333333333,0.9166666666666666,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.25,0.0,0.75
BARANOA,2018,13,52,15,0.4,0.06666666666666667,0.0,0.0,0.3333333333333333,0.0,0.2,0.4,0.0,0.0,0.0,0.06666666666666667,0.5333333333333333,1.0,0.0,0.13333333333333333,0.8666666666666667,0.0,1.0,0.5333333333333333,0.4666666666666667,1.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.06666666666666667,0.3333333333333333,0.0,0.6666666666666666
BARANOA,2019,1,1,16,0.5625,0.0625,0.0,0.0,0.3125,0.0,0.0625,0.4375,0.0,0.0,0.0,0.0,0.5625,1.0,0.0,0.0,1.0,0.0,1.0,0.6875,0.3125,1.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.25,0.0,0.75
BARANOA,2019,1,2,18,0.6111111111111112,0.05555555555555555,0.0,0.0,0.2777777777777778,0.0,0.05555555555555555,0.2777777777777778,0.0,0.0,0.0,0.0,0.7222222222222222,1.0,0.0,0.05555555555555555,0.9444444444444444,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05555555555555555,0.0,0.9444444444444444
BARANOA,2019,1,3,13,0.38461538461538464,0.07692307692307693,0.0,0.0,0.38461538461538464,0.0,0.15384615384615385,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.6923076923076923,0.9230769230769231,0.07692307692307693,0.15384615384615385,0.8461538461538461,0.0,1.0,0.6923076923076923,0.3076923076923077,1.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.15384615384615385,0.0,0.07692307692307693,0.0,0.9230769230769231
BARANOA,2019,1,4,8,0.375,0.125,0.0,0.0,0.375,0.0,0.125,0.25,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,1.0,0.0,1.0,0.25,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.375,0.0,0.625
BARANOA,2019,2,5,4,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.25,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.75
BARANOA,2019,2,6,5,0.4,0.0,0.0,0.0,0.4,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0,1.0,0.0,1.0,0.8,0.2,1.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.2,0.0,0.8
BARANOA,2019,2,7,6,0.5,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,1.0,0.0,1.0,0.8333333333333334,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2019,3,9,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2019,3,10,6,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2019,3,11,5,0.2,0.0,0.0,0.0,0.6,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0,1.0,0.0,1.0,0.6,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2019,3,12,5,0.6,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2,0.8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2019,4,13,2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2019,5,17,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2019,5,18,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2019,5,19,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2019,5,20,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2019,6,22,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
BARANOA,2019,6,23,2,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5
BARANOA,2019,7,25,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
BARANOA,2019,7,26,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2019,7,27,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
BARANOA,2019,7,28,3,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2019,8,29,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666
BARANOA,2019,8,30,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2019,8,31,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2019,8,32,9,0.3333333333333333,0.0,0.1111111111111111,0.0,0.5555555555555556,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.2222222222222222,0.4444444444444444,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.0,1.0,0.5555555555555556,0.4444444444444444,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2222222222222222,0.0,0.7777777777777778
BARANOA,2019,9,33,7,0.5714285714285714,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0,0.7142857142857143,1.0,0.0,0.14285714285714285,0.8571428571428571,0.0,1.0,0.14285714285714285,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2019,9,34,7,0.5714285714285714,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2857142857142857,0.0,0.7142857142857143
BARANOA,2019,9,35,4,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.75
BARANOA,2019,9,36,9,0.5555555555555556,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.7777777777777778,1.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,1.0
BARANOA,2019,10,37,11,0.36363636363636365,0.09090909090909091,0.0,0.0,0.45454545454545453,0.0,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.0,0.6363636363636364,1.0,0.0,0.0,1.0,0.0,1.0,0.36363636363636365,0.6363636363636364,1.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.09090909090909091,0.0,0.0,0.0,1.0
BARANOA,2019,10,38,10,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.8
BARANOA,2019,10,39,9,0.6666666666666666,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.8888888888888888,1.0,0.0,0.0,1.0,0.0,1.0,0.4444444444444444,0.5555555555555556,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2019,10,40,12,0.75,0.0,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,0.0,0.08333333333333333,0.9166666666666666,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.08333333333333333,0.0,0.08333333333333333,0.0,0.9166666666666666
BARANOA,2019,11,41,16,0.5625,0.1875,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.125,0.875,0.0,1.0,0.375,0.625,1.0,0.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0,0.0,1.0
BARANOA,2019,11,42,7,0.5714285714285714,0.0,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.7142857142857143,1.0,0.0,0.0,1.0,0.0,1.0,0.42857142857142855,0.5714285714285714,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14285714285714285,0.0,0.8571428571428571
BARANOA,2019,11,43,16,0.375,0.0,0.0,0.0,0.5625,0.0,0.0625,0.4375,0.0,0.0,0.0,0.0,0.5625,0.9375,0.0625,0.0,1.0,0.0,1.0,0.4375,0.5625,1.0,0.0,0.0,0.0,0.0,0.9375,0.0625,0.0,0.1875,0.0,0.8125
BARANOA,2019,11,44,15,0.4666666666666667,0.2,0.06666666666666667,0.0,0.26666666666666666,0.0,0.0,0.26666666666666666,0.06666666666666667,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,1.0,0.7333333333333333,0.26666666666666666,1.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.06666666666666667,0.0,0.4666666666666667,0.0,0.5333333333333333
BARANOA,2019,12,45,13,0.46153846153846156,0.07692307692307693,0.07692307692307693,0.0,0.3076923076923077,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.9230769230769231,1.0,0.0,0.0,1.0,0.0,1.0,0.3076923076923077,0.6923076923076923,1.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.15384615384615385,0.0,0.15384615384615385,0.0,0.8461538461538461
BARANOA,2019,12,46,8,0.5,0.25,0.0,0.0,0.125,0.0,0.125,0.25,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.125,0.875,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.875,0.125,0.0,0.125,0.0,0.875
BARANOA,2019,12,47,22,0.45454545454545453,0.045454545454545456,0.045454545454545456,0.0,0.4090909090909091,0.0,0.045454545454545456,0.2727272727272727,0.0,0.0,0.0,0.045454545454545456,0.6818181818181818,0.9545454545454546,0.045454545454545456,0.045454545454545456,0.9545454545454546,0.0,1.0,0.45454545454545453,0.5454545454545454,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BARANOA,2019,12,48,24,0.6666666666666666,0.08333333333333333,0.0,0.0,0.16666666666666666,0.0,0.08333333333333333,0.2916666666666667,0.0,0.0,0.0,0.041666666666666664,0.6666666666666666,0.9583333333333334,0.041666666666666664,0.041666666666666664,0.9583333333333334,0.0,1.0,0.375,0.625,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334
BARANOA,2019,13,49,22,0.7272727272727273,0.0,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.2727272727272727,0.045454545454545456,0.0,0.0,0.0,0.6818181818181818,1.0,0.0,0.045454545454545456,0.9545454545454546,0.0,1.0,0.4090909090909091,0.5909090909090909,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09090909090909091,0.0,0.9090909090909091
BARANOA,2019,13,50,18,0.4444444444444444,0.0,0.0,0.0,0.2777777777777778,0.0,0.2777777777777778,0.2777777777777778,0.0,0.0,0.0,0.0,0.7222222222222222,1.0,0.0,0.05555555555555555,0.9444444444444444,0.0,1.0,0.6111111111111112,0.3888888888888889,1.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.05555555555555555,0.0,0.1111111111111111,0.0,0.8888888888888888
BARANOA,2019,13,51,24,0.625,0.20833333333333334,0.0,0.0,0.125,0.0,0.041666666666666664,0.25,0.0,0.0,0.041666666666666664,0.0,0.7083333333333334,0.9583333333333334,0.041666666666666664,0.08333333333333333,0.9166666666666666,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.041666666666666664,0.0,0.125,0.0,0.875
