municipio,año,numcasos,ciclo_vital_adolescencia,ciclo_vital_adulto,ciclo_vital_adulto_mayor,ciclo_vital_ancianidad,ciclo_vital_infancia,ciclo_vital_menor_de_1_año,ciclo_vital_primera_infancia,regimen_salud_contributivo,regimen_salud_especial,regimen_salud_excepción,regimen_salud_indeterminado,regimen_salud_no_asegurado,regimen_salud_subsidiado,evento_clasico,evento_grave,hospitalizado_no,hospitalizado_si,desenlace_fallecido,desenlace_vivo,sexo_femenino,sexo_masculino,subregion_centro,subregion_costera,subregion_metropolitana,subregion_oriental,subregion_sur,area_cabecera_municipal,area_centro_poblado,area_rural_disperso,tipo_caso_conf_por_laboratorio,tipo_caso_conf_por_nexo,tipo_caso_probable,periodo_1,periodo_2,periodo_3,periodo_4,periodo_5,periodo_6,periodo_7,periodo_8,periodo_9,periodo_10,periodo_11,periodo_12,periodo_13
JUAN DE ACOSTA,2020,9,0,4,0,0,3,0,2,5,0,0,0,1,3,9,0,2,7,0,9,6,3,0,9,0,0,0,7,1,1,0,0,9,2,0,3,0,0,0,0,0,0,1,0,1,2
JUAN DE ACOSTA,2021,27,12,5,0,0,5,1,4,6,0,0,0,3,18,27,0,10,17,0,27,16,11,0,27,0,0,0,22,4,1,7,0,20,3,1,0,0,0,3,0,1,4,1,2,9,3
JUAN DE ACOSTA,2022,99,55,14,2,0,19,0,9,21,0,2,1,6,69,94,5,22,77,0,99,46,53,0,99,0,0,0,93,6,0,21,0,78,8,3,1,0,1,2,15,5,3,7,19,14,21
JUAN DE ACOSTA,2023,31,16,8,1,0,6,0,0,9,0,0,0,0,22,30,1,8,23,0,31,15,16,0,31,0,0,0,26,5,0,6,0,25,8,8,5,0,1,2,2,3,1,0,0,0,1
LURUACO,2017,13,1,7,3,1,0,0,1,1,0,0,0,1,11,13,0,10,3,0,13,5,8,13,0,0,0,0,9,3,1,0,0,13,2,0,0,2,2,2,3,0,0,2,0,0,0
LURUACO,2018,5,2,1,0,0,0,0,2,2,0,0,0,0,3,5,0,1,4,0,5,3,2,5,0,0,0,0,5,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,3
LURUACO,2019,49,13,2,1,0,21,0,12,9,0,0,0,1,39,47,2,7,42,0,49,24,25,49,0,0,0,0,34,15,0,6,0,43,0,1,0,1,1,0,1,1,1,3,11,14,15
LURUACO,2020,31,19,1,0,0,6,1,4,5,0,1,0,0,25,31,0,7,24,0,31,19,12,31,0,0,0,0,24,7,0,4,0,27,19,7,2,1,0,0,0,0,0,0,1,0,1
LURUACO,2021,168,90,12,1,0,49,1,15,6,0,6,0,5,151,166,2,27,141,0,168,85,83,168,0,0,0,0,160,8,0,8,0,160,2,0,1,0,1,0,6,11,63,53,27,2,2
LURUACO,2022,12,3,1,1,0,6,0,1,1,0,0,0,0,11,10,2,2,10,0,12,6,6,12,0,0,0,0,10,2,0,2,0,10,3,1,1,0,0,0,2,0,0,1,2,2,0
LURUACO,2023,6,2,1,0,0,1,0,2,2,0,0,0,0,4,6,0,1,5,0,6,4,2,6,0,0,0,0,3,3,0,2,0,4,0,1,1,0,0,1,0,0,0,1,1,1,0
MALAMBO,2017,22,5,11,0,0,3,0,3,7,0,1,0,1,13,22,0,13,9,0,22,12,10,0,0,22,0,0,22,0,0,3,0,19,0,0,1,0,1,3,0,1,4,0,0,6,6
MALAMBO,2018,157,53,33,5,0,40,0,26,61,0,1,0,7,88,154,3,59,98,0,157,80,77,0,0,157,0,0,157,0,0,47,1,109,5,7,3,6,8,14,23,17,14,11,12,19,18
MALAMBO,2019,164,72,22,2,0,52,1,15,70,2,4,0,4,84,159,5,54,110,0,164,92,72,0,0,164,0,0,161,2,1,40,0,124,20,16,10,12,7,4,7,4,5,4,15,27,33
MALAMBO,2020,221,114,36,3,0,48,2,18,103,0,8,2,7,101,216,5,56,165,0,221,101,120,0,0,221,0,0,216,2,3,40,0,181,44,33,28,14,8,4,2,2,7,21,13,16,29
MALAMBO,2021,730,313,68,2,0,249,5,93,239,0,28,1,34,428,717,13,170,560,0,730,356,374,0,0,730,0,0,717,12,1,125,0,605,21,22,29,16,9,10,27,72,122,136,122,94,50
MALAMBO,2022,245,106,49,1,1,62,2,24,100,0,18,2,2,123,231,14,71,174,0,245,121,124,0,0,245,0,0,237,8,0,100,2,143,19,11,11,7,8,10,10,13,14,23,41,34,44
MALAMBO,2023,158,64,39,4,0,41,2,8,42,1,5,0,11,99,158,0,56,102,0,158,70,88,0,0,158,0,0,153,4,1,69,0,89,28,25,24,10,5,4,8,10,14,12,6,6,6
MANATÍ,2017,4,1,3,0,0,0,0,0,1,0,0,0,1,2,4,0,2,2,0,4,3,1,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2,1
MANATÍ,2018,4,0,0,0,0,0,0,4,1,0,0,0,2,1,4,0,0,4,0,4,4,0,0,0,0,0,4,4,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0
MANATÍ,2019,49,23,7,0,0,7,1,11,4,0,0,0,2,43,48,1,16,33,0,49,18,31,0,0,0,0,49,45,4,0,2,0,47,0,0,2,0,4,0,10,10,7,3,4,8,1
MANATÍ,2020,6,1,2,0,0,0,0,3,0,0,0,0,0,6,6,0,4,2,0,6,3,3,0,0,0,0,6,6,0,0,0,0,6,0,0,0,0,1,0,0,1,1,1,1,1,0
MANATÍ,2021,48,23,5,0,0,13,0,7,2,0,0,0,2,44,48,0,15,33,0,48,26,22,0,0,0,0,48,48,0,0,5,0,43,0,0,0,0,0,0,1,1,1,14,15,11,5
MANATÍ,2022,137,77,13,2,1,31,0,13,6,0,1,3,5,122,131,6,44,93,0,137,64,73,0,0,0,0,137,136,0,1,51,0,86,6,4,6,4,11,25,24,29,16,9,1,2,0
MANATÍ,2023,9,3,1,2,1,1,0,1,0,0,0,0,0,9,9,0,4,5,0,9,6,3,0,0,0,0,9,7,1,1,4,0,5,1,1,1,0,1,0,1,2,1,0,0,1,0
