municipio,año,numcasos,ciclo_vital_adolescencia,ciclo_vital_adulto,ciclo_vital_adulto_mayor,ciclo_vital_ancianidad,ciclo_vital_infancia,ciclo_vital_menor_de_1_año,ciclo_vital_primera_infancia,regimen_salud_contributivo,regimen_salud_especial,regimen_salud_excepción,regimen_salud_indeterminado,regimen_salud_no_asegurado,regimen_salud_subsidiado,evento_clasico,evento_grave,hospitalizado_no,hospitalizado_si,desenlace_fallecido,desenlace_vivo,sexo_femenino,sexo_masculino,subregion_centro,subregion_costera,subregion_metropolitana,subregion_oriental,subregion_sur,area_cabecera_municipal,area_centro_poblado,area_rural_disperso,tipo_caso_conf_por_laboratorio,tipo_caso_conf_por_nexo,tipo_caso_probable,periodo_1,periodo_2,periodo_3,periodo_4,periodo_5,periodo_6,periodo_7,periodo_8,periodo_9,periodo_10,periodo_11,periodo_12,periodo_13,humedad,precipitacion,dist_rio_1,dist_lag_1,temp_media
BARANOA,2017,7,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.1428571428571428,0.4285714285714285,0.0,0.0,0.0,0.0,0.5714285714285714,1.0,0.0,0.2857142857142857,0.7142857142857143,0.0,1.0,0.2857142857142857,0.7142857142857143,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.1428571428571428,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.1428571428571428,0.1428571428571428,91.04126739501952,550048.4390133864,1.275986857905614,17.60367485448971,27.223876953125
BARANOA,2018,162,0.4753086419753086,0.1111111111111111,0.0185185185185185,0.0,0.2777777777777778,0.0,0.1172839506172839,0.3950617283950617,0.0185185185185185,0.0,0.0,0.0123456790123456,0.5740740740740741,0.9753086419753086,0.0246913580246913,0.2037037037037037,0.7962962962962963,0.0061728395061728,0.9938271604938272,0.5061728395061729,0.4938271604938271,1.0,0.0,0.0,0.0,0.0,0.9814814814814816,0.0123456790123456,0.0061728395061728,0.2777777777777778,0.0061728395061728,0.7160493827160493,0.0,0.0061728395061728,0.0,0.0061728395061728,0.0061728395061728,0.0123456790123456,0.0185185185185185,0.0432098765432098,0.0679012345679012,0.1975308641975308,0.1481481481481481,0.1604938271604938,0.3333333333333333,90.86920166015624,469218.2784120514,1.275986857905614,17.60367485448971,27.15025329589844
BARANOA,2019,395,0.5189873417721519,0.0784810126582278,0.0151898734177215,0.0025316455696202,0.2936708860759494,0.0025316455696202,0.0886075949367088,0.240506329113924,0.010126582278481,0.0075949367088607,0.0025316455696202,0.010126582278481,0.7291139240506329,0.979746835443038,0.020253164556962,0.0481012658227848,0.9518987341772152,0.0,1.0,0.4708860759493671,0.529113924050633,1.0,0.0,0.0,0.0,0.0,0.9493670886075948,0.050632911392405,0.0,0.1265822784810126,0.0,0.8734177215189873,0.1392405063291139,0.0379746835443038,0.0481012658227848,0.0050632911392405,0.0126582278481012,0.0075949367088607,0.0151898734177215,0.0379746835443038,0.0683544303797468,0.1063291139240506,0.1367088607594936,0.1696202531645569,0.2151898734177215,90.46469116210938,434414.4670962634,1.275986857905614,17.60367485448971,27.40441131591797
BARANOA,2020,170,0.4352941176470588,0.1,0.0176470588235294,0.0058823529411764,0.3411764705882353,0.0058823529411764,0.0941176470588235,0.2352941176470588,0.0,0.0117647058823529,0.0,0.0588235294117647,0.6941176470588235,0.9823529411764704,0.0176470588235294,0.3,0.7,0.0,1.0,0.5764705882352941,0.4235294117647059,1.0,0.0,0.0,0.0,0.0,0.7823529411764706,0.1647058823529411,0.0529411764705882,0.0705882352941176,0.0058823529411764,0.923529411764706,0.3941176470588235,0.1823529411764705,0.0470588235294117,0.0235294117647058,0.0,0.0058823529411764,0.0,0.0411764705882352,0.0705882352941176,0.0411764705882352,0.0529411764705882,0.0647058823529411,0.0764705882352941,90.61671447753906,546243.9351621221,1.275986857905614,17.60367485448971,27.16470432281494
BARANOA,2021,109,0.5504587155963303,0.073394495412844,0.018348623853211,0.0091743119266055,0.2844036697247706,0.0,0.0642201834862385,0.2752293577981651,0.0,0.0275229357798165,0.0091743119266055,0.0091743119266055,0.6788990825688074,0.9724770642201837,0.0275229357798165,0.2201834862385321,0.7798165137614679,0.0,1.0,0.5137614678899083,0.4862385321100917,1.0,0.0,0.0,0.0,0.0,0.944954128440367,0.036697247706422,0.018348623853211,0.1834862385321101,0.0,0.8165137614678899,0.036697247706422,0.0091743119266055,0.0,0.0091743119266055,0.0,0.0,0.0091743119266055,0.018348623853211,0.0825688073394495,0.2201834862385321,0.1651376146788991,0.2660550458715596,0.1834862385321101,90.45265197753906,547501.4135851925,1.275986857905614,17.60367485448971,26.994431495666504
BARANOA,2022,96,0.3854166666666667,0.2395833333333333,0.0625,0.0,0.2291666666666666,0.0,0.0833333333333333,0.3333333333333333,0.0,0.0416666666666666,0.0,0.0208333333333333,0.6041666666666666,0.9895833333333334,0.0104166666666666,0.1875,0.8125,0.0,1.0,0.3541666666666667,0.6458333333333334,1.0,0.0,0.0,0.0,0.0,0.7395833333333334,0.1458333333333333,0.1145833333333333,0.1875,0.0,0.8125,0.0625,0.0104166666666666,0.0104166666666666,0.0,0.0104166666666666,0.0520833333333333,0.0416666666666666,0.15625,0.125,0.1145833333333333,0.1875,0.15625,0.0729166666666666,91.66358947753906,689034.0819408143,1.275986857905614,17.60367485448971,26.87887954711914
BARANOA,2023,89,0.4943820224719101,0.2134831460674157,0.0449438202247191,0.0112359550561797,0.1685393258426966,0.0112359550561797,0.0561797752808988,0.2921348314606741,0.0337078651685393,0.0112359550561797,0.0,0.0,0.6629213483146067,0.9887640449438202,0.0112359550561797,0.2808988764044944,0.7191011235955056,0.0,1.0,0.5168539325842697,0.4831460674157303,1.0,0.0,0.0,0.0,0.0,0.9775280898876404,0.0224719101123595,0.0,0.2696629213483146,0.0,0.7303370786516854,0.1348314606741573,0.0337078651685393,0.0224719101123595,0.0337078651685393,0.0224719101123595,0.0337078651685393,0.0224719101123595,0.1235955056179775,0.0674157303370786,0.1348314606741573,0.0449438202247191,0.1685393258426966,0.1573033707865168,90.82515716552734,469017.0736795909,1.275986857905614,17.60367485448971,27.514854431152344
CAMPO DE LA CRUZ,2017,4,0.0,0.25,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.25,0.0,1.0,0.75,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,88.73883819580078,391557.69860685687,0.262271827829908,5.433398254450008,28.343679428100586
CAMPO DE LA CRUZ,2019,30,0.5333333333333333,0.1666666666666666,0.0,0.0,0.0666666666666666,0.0333333333333333,0.2,0.1,0.0,0.0,0.0,0.0333333333333333,0.8666666666666667,0.9666666666666668,0.0333333333333333,0.3,0.7,0.0,1.0,0.4333333333333333,0.5666666666666667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2666666666666666,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.0333333333333333,0.0,0.2333333333333333,0.1333333333333333,0.1333333333333333,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.2666666666666666,88.3021469116211,305777.8848749644,0.262271827829908,5.433398254450008,28.540089607238773
CAMPO DE LA CRUZ,2020,6,0.3333333333333333,0.1666666666666666,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,0.0,0.5,0.5,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,88.62660217285156,381519.73769484,0.262271827829908,5.433398254450008,28.192258834838864
