municipio,año,periodo,semana,numcasos,ciclo_vital_adolescencia,ciclo_vital_adulto,ciclo_vital_adulto_mayor,ciclo_vital_ancianidad,ciclo_vital_infancia,ciclo_vital_menor_de_1_año,ciclo_vital_primera_infancia,regimen_salud_contributivo,regimen_salud_especial,regimen_salud_excepción,regimen_salud_indeterminado,regimen_salud_no_asegurado,regimen_salud_subsidiado,evento_clasico,evento_grave,hospitalizado_no,hospitalizado_si,desenlace_fallecido,desenlace_vivo,sexo_femenino,sexo_masculino,subregion_centro,subregion_costera,subregion_metropolitana,subregion_oriental,subregion_sur,area_cabecera_municipal,area_centro_poblado,area_rural_disperso,tipo_caso_conf_por_laboratorio,tipo_caso_conf_por_nexo,tipo_caso_probable,temp_media,humedad,precipitacion,acueducto_continuidad_horas_dia,acueducto_continuidad_porcentaje,dist_rio,dist_lago
BARANOA,2018,7,27,2,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,27.564444841657384,90.00616891043526,2.3585714995861053,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2018,8,29,3,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,28.036660766601585,89.51269640241351,1.932857130255018,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2018,8,30,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,26.9319767543248,93.52066476004464,11.60857139314924,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2018,8,31,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,26.792886352539085,94.48639133998326,9.477142589432852,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2018,8,32,2,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,28.14261125837056,89.92407989501953,0.3628571358110223,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2018,9,34,2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,27.708609880719884,91.77906036376952,3.9071428307465146,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2018,9,35,4,0.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.75,1.0,0.0,0.25,0.75,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,27.369093104771224,94.36893136160714,7.794285706111363,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2018,9,36,5,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.2,0.8,0.0,1.0,0.4,0.6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.6,26.8547324044364,94.6119613647461,13.334285872323171,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2018,10,37,5,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.4,1.0,0.0,0.0,1.0,0.0,1.0,0.6,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.6,26.93272225516185,93.95086669921876,11.362857001168388,23.73,98.93,1.275986857905614,17.60367485448971
BARANOA,2018,10,38,5,0.6,0.0,0.0,0.0,0.2,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,1.0,0.0,1.0,0.6,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.6,27.49487784249444,94.00964900425502,9.36000001004764,23.73,98.93,1.275986857905614,17.60367485448971
