municipio,humedad_relativa,año
BOAVITA,84.19,2017
BOYACÁ,,2017
BRICEÑO,87.94,2017
BUENAVISTA,82.43,2017
BUSBANZÁ,,2017
CALDAS,88.56,2017
CAMPOHERMOSO,91.1,2017
CERINZA,,2017
CHINAVITA,95.08,2017
CHIQUINQUIRÁ,92.72,2017
CHISCAS,88.6,2017
CHITA,87.36,2017
CHITARAQUE,86.15,2017
CHIVATÁ,,2017
CIÉNEGA,94.79,2017
CÓMBITA,93.12,2017
COPER,85.36,2017
CORRALES,,2017
COVARACHÍA,87.04,2017
CUBARÁ,88.52,2017
CUCAITA,,2017
CUÍTIVA,84.45,2017
CHÍQUIZA,91.83,2017
CHIVOR,91.15,2017
DUITAMA,86.17,2017
EL COCUY,84.65,2017
EL ESPINO,82.92,2017
FIRAVITOBA,82.07,2017
FLORESTA,80.55,2017
GACHANTIVÁ,,2017
GÁMEZA,88.3,2017
GARAGOA,93.44,2017
GUACAMAYAS,,2017
GUATEQUE,90.5,2017
GUAYATÁ,93.31,2017
GÜICÁN DE LA SIERRA,85.74,2017
IZA,86.28,2017
JENESANO,93.46,2017
JERICÓ,80.71,2017
LABRANZAGRANDE,85.18,2017
LA CAPILLA,,2017
LA VICTORIA,,2017
LA UVITA,,2017
VILLA DE LEYVA,90.43,2017
MACANAL,90.96,2017
MARIPÍ,84.11,2017
MIRAFLORES,91.9,2017
MONGUA,84.91,2017
MONGUÍ,89.06,2017
MONIQUIRÁ,88.61,2017
MOTAVITA,93.84,2017
MUZO,86.29,2017
NOBSA,,2017
NUEVO COLÓN,,2017
OICATÁ,93.74,2017
OTANCHE,93.97,2017
PACHAVITA,93.91,2017
PÁEZ,92.23,2017
PAIPA,86.54,2017
PAJARITO,85.75,2017
PANQUEBA,,2017
PAUNA,83.65,2017
PAYA,86.94,2017
PAZ DE RÍO,,2017
PESCA,92.04,2017
PISBA,89.3,2017
PUERTO BOYACÁ,94.65,2017
QUÍPAMA,93.07,2017
RAMIRIQUÍ,94.79,2017
RÁQUIRA,90.07,2017
RONDÓN,92.5,2017
SABOYÁ,89.47,2017
SÁCHICA,,2017
SAMACÁ,92.1,2017
SAN EDUARDO,,2017
SAN JOSÉ DE PARE,92.01,2017
SAN LUIS DE GACENO,91.97,2017
SAN MATEO,83.42,2017
SAN MIGUEL DE SEMA,,2017
SAN PABLO DE BORBUR,90.7,2017
SANTANA,95.46,2017
SANTA MARÍA,87.94,2017
SANTA ROSA DE VITERBO,84.37,2017
SANTA SOFÍA,88.64,2017
SATIVANORTE,82.89,2017
SATIVASUR,,2017
SIACHOQUE,92.2,2017
SOATÁ,81.24,2017
SOCOTÁ,86.3,2017
SOCHA,87.1,2017
SOGAMOSO,82.48,2017
SOMONDOCO,88.6,2017
SORA,,2017
SOTAQUIRÁ,90.51,2017
SORACÁ,94.85,2017
SUSACÓN,81.71,2017
SUTAMARCHÁN,88.04,2017
SUTATENZA,,2017
TASCO,83.01,2017
TENZA,91.63,2017
TIBANÁ,93.03,2017
TIBASOSA,80.77,2017
TINJACÁ,90.3,2017
TIPACOQUE,86.13,2017
TOCA,89.71,2017
TOGÜÍ,92.78,2017
TÓPAGA,,2017
TOTA,91.06,2017
TUNUNGUÁ,,2017
TURMEQUÉ,93.09,2017
TUTA,90.32,2017
TUTAZÁ,88.17,2017
ÚMBITA,92.52,2017
VENTAQUEMADA,92.54,2017
VIRACACHÁ,,2017
ZETAQUIRA,90.55,2017
MANIZALES,0.0,2017
AGUADAS,0.0,2017
ANSERMA,0.0,2017
ARANZAZU,0.0,2017
BELALCÁZAR,0.0,2017
CHINCHINÁ,0.0,2017
FILADELFIA,0.0,2017
LA DORADA,95.04,2017
LA MERCED,,2017
MANZANARES,0.0,2017
MARMATO,0.0,2017
MARQUETALIA,89.01,2017
MARULANDA,0.0,2017
NEIRA,0.0,2017
NORCASIA,94.58,2017
PÁCORA,0.0,2017
PALESTINA,,2017
PENSILVANIA,36.95,2017
RIOSUCIO,0.0,2017
RISARALDA,0.0,2017
SALAMINA,0.0,2017
SAMANÁ,95.27,2017
SAN JOSÉ,0.0,2017
SUPÍA,0.0,2017
VICTORIA,92.01,2017
VILLAMARÍA,0.0,2017
VITERBO,0.0,2017
FLORENCIA,0.0,2017
ALBANIA,0.0,2017
BELÉN DE LOS ANDAQUÍES,0.0,2017
CARTAGENA DEL CHAIRÁ,94.64,2017
CURILLO,0.0,2017
EL DONCELLO,41.71,2017
EL PAUJÍL,28.18,2017
LA MONTAÑITA,29.08,2017
MILÁN,0.0,2017
MORELIA,0.0,2017
PUERTO RICO,60.56,2017
SAN JOSÉ DEL FRAGUA,0.0,2017
SAN VICENTE DEL CAGUÁN,92.84,2017
SOLANO,92.37,2017
SOLITA,0.0,2017
VALPARAÍSO,0.0,2017
POPAYÁN,0.0,2017
ALMAGUER,0.0,2017
ARGELIA,0.0,2017
BALBOA,0.0,2017
BOLÍVAR,0.0,2017
BUENOS AIRES,0.0,2017
CAJIBÍO,0.0,2017
CALDONO,0.0,2017
CALOTO,0.0,2017
CORINTO,0.0,2017
EL TAMBO,0.0,2017
FLORENCIA,0.0,2017
GUACHENÉ,0.0,2017
GUAPI,0.0,2017
INZÁ,0.0,2017
JAMBALÓ,0.0,2017
LA SIERRA,0.0,2017
LA VEGA,0.0,2017
LÓPEZ DE MICAY,0.0,2017
MERCADERES,0.0,2017
MIRANDA,0.0,2017
MORALES,0.0,2017
PADILLA,0.0,2017
PÁEZ,0.0,2017
PATÍA,0.0,2017
PIAMONTE,0.0,2017
PIENDAMÓ - TUNÍA,0.0,2017
PUERTO TEJADA,,2017
PURACÉ,0.0,2017
ROSAS,0.0,2017
SAN SEBASTIÁN,0.0,2017
SANTANDER DE QUILICHAO,0.0,2017
SANTA ROSA,0.0,2017
SILVIA,0.0,2017
SOTARÁ PAISPAMBA,0.0,2017
SUÁREZ,0.0,2017
SUCRE,0.0,2017
TIMBÍO,0.0,2017
TIMBIQUÍ,0.0,2017
TORIBÍO,0.0,2017
TOTORÓ,0.0,2017
VILLA RICA,,2017
VALLEDUPAR,75.12,2017
AGUACHICA,85.4,2017
AGUSTÍN CODAZZI,82.03,2017
ASTREA,86.46,2017
BECERRIL,84.51,2017
BOSCONIA,79.54,2017
CHIMICHAGUA,87.34,2017
CHIRIGUANÁ,87.63,2017
CURUMANÍ,87.31,2017
EL COPEY,82.6,2017
EL PASO,82.91,2017
GAMARRA,86.81,2017
GONZÁLEZ,93.04,2017
LA GLORIA,88.36,2017
LA JAGUA DE IBIRICO,87.18,2017
MANAURE BALCÓN DEL CESAR,83.9,2017
PAILITAS,88.71,2017
PELAYA,90.27,2017
PUEBLO BELLO,73.97,2017
RÍO DE ORO,85.35,2017
LA PAZ,79.66,2017
SAN ALBERTO,88.66,2017
SAN DIEGO,75.65,2017
SAN MARTÍN,87.93,2017
TAMALAMEQUE,88.92,2017
MONTERÍA,0.0,2017
AYAPEL,75.7,2017
BUENAVISTA,0.0,2017
CANALETE,0.0,2017
CERETÉ,0.0,2017
CHIMÁ,0.0,2017
CHINÚ,0.0,2017
CIÉNAGA DE ORO,0.0,2017
COTORRA,,2017
LA APARTADA,0.0,2017
LORICA,0.0,2017
LOS CÓRDOBAS,0.0,2017
MOMIL,0.0,2017
MONTELÍBANO,0.0,2017
MOÑITOS,0.0,2017
PLANETA RICA,0.0,2017
PUEBLO NUEVO,0.0,2017
PUERTO ESCONDIDO,0.0,2017
PUERTO LIBERTADOR,0.0,2017
PURÍSIMA DE LA CONCEPCIÓN,0.0,2017
SAHAGÚN,0.0,2017
SAN ANDRÉS DE SOTAVENTO,0.0,2017
SAN ANTERO,0.0,2017
SAN BERNARDO DEL VIENTO,0.0,2017
SAN CARLOS,0.0,2017
SAN JOSÉ DE URÉ,0.0,2017
SAN PELAYO,0.0,2017
TIERRALTA,0.0,2017
TUCHÍN,,2017
VALENCIA,0.0,2017
AGUA DE DIOS,86.14,2017
ALBÁN,,2017
ANAPOIMA,80.39,2017
ANOLAIMA,82.95,2017
ARBELÁEZ,84.68,2017
BELTRÁN,86.18,2017
BITUIMA,,2017
BOJACÁ,89.95,2017
CABRERA,86.97,2017
CACHIPAY,77.53,2017
CAJICÁ,,2017
CAPARRAPÍ,92.37,2017
CÁQUEZA,86.59,2017
CARMEN DE CARUPA,90.21,2017
CHAGUANÍ,87.32,2017
CHÍA,88.12,2017
CHIPAQUE,91.02,2017
CHOACHÍ,90.45,2017
CHOCONTÁ,92.75,2017
COGUA,90.54,2017
COTA,90.91,2017
CUCUNUBÁ,90.07,2017
EL COLEGIO,80.31,2017
EL PEÑÓN,84.36,2017
EL ROSAL,,2017
FACATATIVÁ,92.12,2017
FÓMEQUE,90.69,2017
FOSCA,86.35,2017
FUNZA,90.37,2017
FÚQUENE,89.24,2017
FUSAGASUGÁ,84.67,2017
GACHALÁ,89.89,2017
GACHANCIPÁ,,2017
GACHETÁ,89.36,2017
GAMA,86.99,2017
GIRARDOT,82.64,2017
GRANADA,,2017
GUACHETÁ,90.6,2017
GUADUAS,89.54,2017
GUASCA,89.97,2017
GUATAQUÍ,,2017
GUATAVITA,92.11,2017
GUAYABAL DE SÍQUIMA,84.5,2017
GUAYABETAL,91.21,2017
GUTIÉRREZ,90.17,2017
JERUSALÉN,86.02,2017
JUNÍN,90.66,2017
LA CALERA,91.68,2017
LA MESA,79.16,2017
LA PALMA,92.9,2017
LA PEÑA,84.15,2017
LA VEGA,,2017
LENGUAZAQUE,90.85,2017
MACHETÁ,92.37,2017
MADRID,,2017
MANTA,,2017
MEDINA,88.05,2017
MOSQUERA,,2017
NARIÑO,85.77,2017
NEMOCÓN,89.19,2017
NILO,81.84,2017
NIMAIMA,,2017
NOCAIMA,78.87,2017
VENECIA,,2017
PACHO,90.29,2017
PAIME,86.95,2017
PANDI,79.16,2017
PARATEBUENO,91.83,2017
PASCA,89.7,2017
PUERTO SALGAR,94.9,2017
PULÍ,84.12,2017
QUEBRADANEGRA,85.13,2017
QUETAME,92.75,2017
QUIPILE,,2017
APULO,82.31,2017
RICAURTE,85.01,2017
SAN ANTONIO DEL TEQUENDAMA,,2017
SAN BERNARDO,87.95,2017
SAN CAYETANO,87.66,2017
SAN FRANCISCO,86.3,2017
SAN JUAN DE RIOSECO,86.02,2017
SASAIMA,82.72,2017
SESQUILÉ,92.83,2017
SIBATÉ,91.05,2017
SILVANIA,81.27,2017
SIMIJACA,91.24,2017
SOACHA,88.95,2017
SOPÓ,,2017
SUBACHOQUE,91.05,2017
SUESCA,91.9,2017
SUPATÁ,87.21,2017
SUSA,,2017
SUTATAUSA,,2017
TABIO,90.76,2017
TAUSA,91.4,2017
TENA,,2017
TENJO,92.26,2017
TIBACUY,76.61,2017
TIBIRITA,90.38,2017
TOCAIMA,84.66,2017
TOCANCIPÁ,86.96,2017
TOPAIPÍ,,2017
UBALÁ,88.91,2017
UBAQUE,85.06,2017
VILLA DE SAN DIEGO DE UBATÉ,89.85,2017
UNE,90.16,2017
ÚTICA,89.76,2017
VERGARA,80.62,2017
VIANÍ,,2017
VILLAGÓMEZ,85.38,2017
VILLAPINZÓN,93.59,2017
VILLETA,82.5,2017
VIOTÁ,81.83,2017
YACOPÍ,93.56,2017
ZIPACÓN,86.01,2017
ZIPAQUIRÁ,86.5,2017
QUIBDÓ,0.0,2017
ACANDÍ,0.0,2017
ALTO BAUDÓ,0.0,2017
ATRATO,0.0,2017
BAGADÓ,0.0,2017
BAHÍA SOLANO,0.0,2017
BAJO BAUDÓ,0.0,2017
BOJAYÁ,0.0,2017
EL CANTÓN DEL SAN PABLO,0.0,2017
CARMEN DEL DARIÉN,0.0,2017
CÉRTEGUI,0.0,2017
CONDOTO,0.0,2017
EL CARMEN DE ATRATO,0.0,2017
EL LITORAL DEL SAN JUAN,0.0,2017
ISTMINA,0.0,2017
JURADÓ,0.0,2017
LLORÓ,0.0,2017
MEDIO ATRATO,0.0,2017
MEDIO BAUDÓ,0.0,2017
