municipio,año,temp_max,temp_min,humedad,precipitacion,dist_rio_1,dist_lag_1
BARANOA,2017,30.44881820678711,23.99893569946289,91.04126739501952,550048.4390133864,1.275986857905614,17.60367485448971
BARANOA,2018,30.37014961242676,23.93035697937012,90.86920166015624,469218.2784120514,1.275986857905614,17.60367485448971
BARANOA,2019,30.610963821411133,24.197858810424805,90.46469116210938,434414.4670962634,1.275986857905614,17.60367485448971
BARANOA,2020,30.32197952270508,24.007429122924805,90.61671447753906,546243.9351621221,1.275986857905614,17.60367485448971
BARANOA,2021,30.161251068115234,23.827611923217773,90.45265197753906,547501.4135851925,1.275986857905614,17.60367485448971
BARANOA,2022,30.131816864013672,23.62594223022461,91.66358947753906,689034.0819408143,1.275986857905614,17.60367485448971
BARANOA,2023,30.803417205810547,24.22629165649414,90.82515716552734,469017.0736795909,1.275986857905614,17.60367485448971
BARRANQUILLA,2017,30.302852630615234,25.307111740112305,86.88523864746094,356540.8429804077,1.99148089005829,5.885683694292155
BARRANQUILLA,2018,30.01790809631348,25.1802921295166,86.80494689941406,270510.114852288,1.99148089005829,5.885683694292155
BARRANQUILLA,2019,30.12735939025879,25.29327392578125,87.16896057128906,295433.5570295216,1.99148089005829,5.885683694292155
BARRANQUILLA,2020,30.131610870361328,25.21341896057129,87.11906433105469,400126.4269212719,1.99148089005829,5.885683694292155
BARRANQUILLA,2021,29.94237518310547,25.087055206298828,86.59423828125,374000.7461156257,1.99148089005829,5.885683694292155
BARRANQUILLA,2022,29.98175811767578,24.884366989135746,87.1456298828125,539119.4295429203,1.99148089005829,5.885683694292155
BARRANQUILLA,2023,30.44270133972168,25.459774017333984,87.08028411865234,321774.9037373719,1.99148089005829,5.885683694292155
CAMPO DE LA CRUZ,2017,31.904720306396484,24.782638549804688,88.73883819580078,391557.69860685687,0.262271827829908,5.433398254450008
CAMPO DE LA CRUZ,2018,31.88064765930176,24.724422454833984,88.72265625,334465.0519275829,0.262271827829908,5.433398254450008
CAMPO DE LA CRUZ,2019,32.092872619628906,24.987306594848636,88.3021469116211,305777.8848749644,0.262271827829908,5.433398254450008
CAMPO DE LA CRUZ,2020,31.62339401245117,24.76112365722656,88.62660217285156,381519.73769484,0.262271827829908,5.433398254450008
CAMPO DE LA CRUZ,2021,31.53141021728516,24.603191375732425,88.5873794555664,373539.155241398,0.262271827829908,5.433398254450008
