municipio,año,temp_max
BARRANQUILLA,2017,30.302852630615234
BARANOA,2017,30.44881820678711
CAMPO DE LA CRUZ,2017,31.904720306396484
CANDELARIA,2017,31.711050033569336
GALAPA,2017,30.337718963623047
JUAN DE ACOSTA,2017,30.386838912963867
LURUACO,2017,15.50051498413086
MALAMBO,2017,30.769601821899414
MANATÍ,2017,31.62969970703125
PALMAR DE VARELA,2017,31.35962677001953
PIOJÓ,2017,10.290121714274088
POLONUEVO,2017,30.968159993489582
PONEDERA,2017,31.66147232055664
PUERTO COLOMBIA,2017,29.94731330871582
REPELÓN,2017,15.57221794128418
SABANAGRANDE,2017,31.09603500366211
SABANALARGA,2017,30.95348358154297
SANTA LUCÍA,2017,31.780393600463867
SANTO TOMÁS,2017,30.968159993489582
SOLEDAD,2017,30.875051498413086
SUAN,2017,31.806760787963867
TUBARÁ,2017,29.827037811279297
USIACURÍ,2017,30.59638023376465
BARRANQUILLA,2018,30.017908096313477
BARANOA,2018,30.370149612426758
CAMPO DE LA CRUZ,2018,31.880647659301758
CANDELARIA,2018,31.688058853149414
GALAPA,2018,30.075519561767578
JUAN DE ACOSTA,2018,30.65390396118164
LURUACO,2018,15.652217864990234
MALAMBO,2018,30.564308802286785
MANATÍ,2018,31.752653121948242
PALMAR DE VARELA,2018,31.27437400817871
PIOJÓ,2018,10.387018203735352
POLONUEVO,2018,30.88600730895996
PONEDERA,2018,31.605220794677734
PUERTO COLOMBIA,2018,29.66863250732422
REPELÓN,2018,15.63215160369873
SABANAGRANDE,2018,31.013498306274414
SABANALARGA,2018,31.05596160888672
SANTA LUCÍA,2018,31.805594126383465
SANTO TOMÁS,2018,30.88600730895996
SOLEDAD,2018,30.60390853881836
SUAN,2018,31.78348159790039
TUBARÁ,2018,29.80306053161621
USIACURÍ,2018,30.69333839416504
BARRANQUILLA,2019,30.12735939025879
BARANOA,2019,30.610963821411133
CAMPO DE LA CRUZ,2019,32.092872619628906
CANDELARIA,2019,31.890743255615234
GALAPA,2019,30.17623519897461
JUAN DE ACOSTA,2019,31.08185577392578
LURUACO,2019,15.89531421661377
MALAMBO,2019,30.716817220052082
MANATÍ,2019,32.237098693847656
PALMAR DE VARELA,2019,31.535343170166016
PIOJÓ,2019,10.54228655497233
POLONUEVO,2019,31.137488047281902
PONEDERA,2019,31.8414306640625
PUERTO COLOMBIA,2019,29.775678634643555
REPELÓN,2019,15.868289947509766
SABANAGRANDE,2019,31.266157150268555
SABANALARGA,2019,31.42195701599121
SANTA LUCÍA,2019,32.106221516927086
SANTO TOMÁS,2019,31.137488047281902
SOLEDAD,2019,30.708059310913086
SUAN,2019,31.988693237304688
TUBARÁ,2019,30.001129150390625
USIACURÍ,2019,31.038258870442707
BARRANQUILLA,2020,30.131610870361328
BARANOA,2020,30.321979522705078
CAMPO DE LA CRUZ,2020,31.623394012451172
CANDELARIA,2020,31.44220733642578
GALAPA,2020,30.180994033813477
JUAN DE ACOSTA,2020,30.606861114501953
LURUACO,2020,15.625824928283691
MALAMBO,2020,30.618948618570965
MANATÍ,2020,31.778221130371094
PALMAR DE VARELA,2020,31.22248077392578
PIOJÓ,2020,10.3701171875
POLONUEVO,2020,30.835818608601887
PONEDERA,2020,31.45893669128418
PUERTO COLOMBIA,2020,29.77984046936035
REPELÓN,2020,15.644438743591309
SABANAGRANDE,2020,30.962995529174805
SABANALARGA,2020,31.00436019897461
SANTA LUCÍA,2020,31.645545959472656
SANTO TOMÁS,2020,30.835818608601887
SOLEDAD,2020,30.71285629272461
SUAN,2020,31.535022735595703
TUBARÁ,2020,29.8512020111084
USIACURÍ,2020,30.644400278727215
BARRANQUILLA,2021,29.94237518310547
BARANOA,2021,30.161251068115234
CAMPO DE LA CRUZ,2021,31.531410217285156
CANDELARIA,2021,31.354534149169922
GALAPA,2021,30.006013870239258
JUAN DE ACOSTA,2021,30.230804443359375
LURUACO,2021,15.411877632141113
MALAMBO,2021,30.444127400716145
MANATÍ,2021,31.435081481933594
PALMAR DE VARELA,2021,31.048002243041992
PIOJÓ,2021,10.233508427937826
POLONUEVO,2021,30.667861938476562
PONEDERA,2021,31.324007034301758
PUERTO COLOMBIA,2021,29.59476089477539
REPELÓN,2021,15.4773530960083
SABANAGRANDE,2021,30.79433250427246
SABANALARGA,2021,30.710174560546875
SANTA LUCÍA,2021,31.47076161702474
SANTO TOMÁS,2021,30.667861938476562
SOLEDAD,2021,30.53203582763672
SUAN,2021,31.44579315185547
TUBARÁ,2021,29.594343185424805
USIACURÍ,2021,30.36741002400716
BARRANQUILLA,2022,29.98175811767578
BARANOA,2022,30.131816864013672
CAMPO DE LA CRUZ,2022,31.288576126098633
CANDELARIA,2022,31.122623443603516
GALAPA,2022,30.042259216308594
JUAN DE ACOSTA,2022,30.033811569213867
LURUACO,2022,15.299978256225586
MALAMBO,2022,30.45840835571289
MANATÍ,2022,31.1462459564209
PALMAR DE VARELA,2022,31.016101837158203
PIOJÓ,2022,10.162036259969076
POLONUEVO,2022,30.637123107910156
PONEDERA,2022,31.194900512695312
PUERTO COLOMBIA,2022,29.63327980041504
REPELÓN,2022,15.336562156677246
SABANAGRANDE,2022,30.763450622558594
SABANALARGA,2022,30.58648109436035
SANTA LUCÍA,2022,31.215269088745117
SANTO TOMÁS,2022,30.637123107910156
SOLEDAD,2022,30.569515228271484
SUAN,2022,31.21098518371582
TUBARÁ,2022,29.522958755493164
USIACURÍ,2022,30.25070317586263
BARRANQUILLA,2023,30.44270133972168
BARANOA,2023,30.803417205810547
CAMPO DE LA CRUZ,2023,32.35683822631836
CANDELARIA,2023,32.1428337097168
GALAPA,2023,30.466400146484375
JUAN DE ACOSTA,2023,30.907634735107422
LURUACO,2023,15.796347618103027
MALAMBO,2023,30.980862935384113
MANATÍ,2023,32.21882629394531
PALMAR DE VARELA,2023,31.743896484375
PIOJÓ,2023,10.479076385498047
POLONUEVO,2023,31.33846155802409
PONEDERA,2023,32.07381057739258
PUERTO COLOMBIA,2023,30.084091186523438
REPELÓN,2023,15.859382629394531
SABANAGRANDE,2023,31.46807098388672
SABANALARGA,2023,31.432723999023438
SANTA LUCÍA,2023,32.27320098876953
SANTO TOMÁS,2023,31.33846155802409
SOLEDAD,2023,31.00811767578125
SUAN,2023,32.24393844604492
TUBARÁ,2023,30.108915328979492
USIACURÍ,2023,31.0479253133138
