municipio,Model,#Obs,#Param,DF,SSE,MSE,Auto Corr,Segment,Joinpoint,Joinpoint 95% LCL,Joinpoint 95% UCL,Intercept Estimate,Intercept Std Error,Intercept Test Statistic,Intercept P-Value,Slope Estimate,Slope Std Error,Slope Test Statistic,Slope P-Value,SlopeChg Estimate,SlopeChg Std Error,SlopeChg Test Statistic,SlopeChg P-Value,Covar-Int vs Int,Covar-Int vs Slope,Covar-Slope vs Slope,Corr-Int vs Int,Corr-Int vs Slope,Corr-Slope vs Slope
PUERTO COLOMBIA,2,58,6,52,24.498285,0.471121,Uncorrelated,1,50,37,54,-17.666111,8.642076,-2.044198,0.046218,0.336866,0.161452,2.086481,0.042055,0.341117,0.161747,2.108954,0.039979,0.000095,0.000000,2.878241,1.000000,0.000000,1.000000
PUERTO COLOMBIA,2,58,6,52,24.498285,0.471121,Uncorrelated,2,57,54,62,8.791100,1.696538,5.181788,0.000004,-0.127295,0.024960,-5.099938,0.000005,-0.464162,0.163370,-2.841170,0.006487,74.685482,0.000000,0.000623,1.000000,0.000000,1.000000
PUERTO COLOMBIA,2,58,6,52,24.498285,0.471121,Uncorrelated,0,,,,-0.610266,0.243489,-2.506338,0.015497,-0.004251,0.009765,-0.435266,0.665243,,,,,0.059287,0.000000,0.026067,1.000000,0.000000,1.000000
REPELÓN,2,27,6,21,7.302350,0.347731,Uncorrelated,0,,,,-3.446009,0.818657,-4.209345,0.000475,0.145547,0.032000,4.548377,0.000220,,,,,0.670199,0.000000,0.002008,1.000000,0.000000,1.000000
REPELÓN,2,27,6,21,7.302350,0.347731,Uncorrelated,1,32,29,36,7.618384,1.743559,4.369445,0.000330,-0.200215,0.044812,-4.467921,0.000264,-0.345762,0.055064,-6.279247,0.000005,0.001024,0.000000,5.139389,1.000000,0.000000,1.000000
REPELÓN,2,27,6,21,7.302350,0.347731,Uncorrelated,2,51,40,59,-6.053327,2.267022,-2.670167,0.015131,0.067858,0.036053,1.882179,0.075220,0.268073,0.057514,4.660983,0.000170,3.039997,0.000000,0.001300,1.000000,0.000000,1.000000
SABANAGRANDE,3,40,8,32,13.053414,0.407919,Uncorrelated,3,51,45,54,-4.203392,1.353988,-3.104453,0.004230,0.041415,0.020983,1.973712,0.058010,0.317416,0.108331,2.930064,0.006543,0.180724,0.000000,0.000440,1.000000,0.000000,1.000000
SABANAGRANDE,3,40,8,32,13.053414,0.407919,Uncorrelated,2,40,37,41,11.984834,4.795144,2.499369,0.018352,-0.276001,0.106279,-2.596947,0.014619,-0.461892,0.438200,-1.054066,0.300556,261.086463,0.000000,1.833284,1.000000,0.000000,1.000000
SABANAGRANDE,3,40,8,32,13.053414,0.407919,Uncorrelated,0,,,,-0.491144,0.312667,-1.570824,0.127072,-0.028385,0.017743,-1.599759,0.120491,,,,,0.097760,0.000000,22.993410,1.000000,0.000000,1.000000
SABANAGRANDE,3,40,8,32,13.053414,0.407919,Uncorrelated,1,28,16,37,-6.490862,16.158170,-0.401708,0.690844,0.185891,0.425117,0.437270,0.665155,0.214276,0.425487,0.503601,0.618346,0.000315,0.000000,0.011295,1.000000,0.000000,1.000000
SABANALARGA,1,74,4,70,20.090736,0.287011,Uncorrelated,0,,,,-1.984038,0.300206,-6.608929,0.000000,0.168930,0.030223,5.589493,0.000000,,,,,0.090123,0.000000,0.042565,1.000000,0.000000,1.000000
SABANALARGA,1,74,4,70,20.090736,0.287011,Uncorrelated,1,17,14,22,1.441743,0.206312,6.988156,0.000000,-0.032587,0.003983,-8.182064,0.000000,-0.201517,0.030484,-6.610562,0.000000,0.000913,0.000000,0.000016,1.000000,0.000000,1.000000
SANTA LUCÍA,0,20,2,18,31.906554,1.772586,Uncorrelated,0,,,,2.060233,0.959815,2.146491,0.045713,-0.048747,0.020459,-2.382641,0.028421,,,,,0.921244,-0.018668,0.000419,1.000000,-0.950681,1.000000
SANTO TOMÁS,1,46,4,42,28.895611,0.687991,Uncorrelated,0,,,,-0.495232,0.290651,-1.703870,0.095975,-0.019962,0.007494,-2.663830,0.010993,,,,,0.084478,0.000000,20.117774,1.000000,0.000000,1.000000
SANTO TOMÁS,1,46,4,42,28.895611,0.687991,Uncorrelated,1,64,11,76,-8.321952,4.485284,-1.855390,0.070740,0.102331,0.061761,1.656876,0.105179,0.122293,0.062214,1.965670,0.056134,0.000056,0.000000,0.003814,1.000000,0.000000,1.000000
SOLEDAD,1,78,4,74,11.468719,0.154983,Uncorrelated,0,,,,0.193154,0.199841,0.966539,0.336966,-0.063866,0.019502,-3.274783,0.001619,,,,,0.039936,0.000000,0.022871,1.000000,0.000000,1.000000
SOLEDAD,1,78,4,74,11.468719,0.154983,Uncorrelated,1,18,10,29,-1.267929,0.151232,-8.383981,0.000000,0.017305,0.002937,5.892829,0.000000,0.081171,0.019722,4.115703,0.000100,0.000380,0.000000,0.000009,1.000000,0.000000,1.000000
SUAN,0,33,2,31,32.706405,1.055045,Uncorrelated,0,,,,-0.030436,0.410532,-0.074139,0.941376,0.008026,0.008546,0.939146,0.354916,,,,,0.168537,-0.003158,0.000073,1.000000,-0.900168,1.000000
TUBARÁ,0,33,2,31,26.694244,0.861105,Uncorrelated,0,,,,-0.028914,0.352379,-0.082054,0.935131,-0.010562,0.007473,-1.413482,0.167478,,,,,0.124171,-0.002340,0.000056,1.000000,-0.888737,1.000000
USIACURÍ,2,31,6,25,12.814089,0.512564,Uncorrelated,0,,,,0.594131,0.278353,2.134449,0.043688,-0.027815,0.007319,-3.800565,0.000922,,,,,0.077481,0.000000,0.265041,1.000000,0.000000,1.000000
USIACURÍ,2,31,6,25,12.814089,0.512564,Uncorrelated,1,66,63,69,-53.278560,36.039953,-1.478319,0.152888,0.788438,0.514821,1.531478,0.139291,0.816253,0.514873,1.585347,0.126542,0.000054,0.000000,172.751285,1.000000,0.000000,1.000000
USIACURÍ,2,31,6,25,12.814089,0.512564,Uncorrelated,2,72,71,74,27.761024,13.143488,2.112150,0.045742,-0.337112,0.174041,-1.936963,0.065128,-1.125550,0.543444,-2.071142,0.049748,1298.878236,0.000000,0.030290,1.000000,0.000000,1.000000
