municipio,Model,# Joinpoints,# Observations,# Parameters,D.F.,SSE,BIC,BIC3,Weight,WBIC
TUBARÁ,6,5,33,12,21,      11.7744895,       0.2408850,       0.7706589,       0.8170177,       0.6737197
TUBARÁ,7,6,33,14,19,      10.8190905,       0.3681715,       1.0039001,       0.8170177,       0.8875731
TUBARÁ,4,3,33,8,25,      15.5453013,       0.0948891,       0.4127534,       0.5864611,       0.2813041
TUBARÁ,3,2,33,6,27,      20.1216290,       0.1410164,       0.3529259,       0.3862271,       0.2228616
TUBARÁ,2,1,33,4,29,      24.5245125,       0.1269847,       0.2329394,       0.0812809,       0.1355968
TUBARÁ,1,0,33,2,31,      26.6942437,      -0.0001501,      -0.0001501,       0.0000000,      -0.0001501
TUBARÁ,5,4,33,10,23,      13.2366067,       0.1460264,       0.5698455,       0.7171179,       0.4499547
USIACURÍ,1,0,31,2,29,      65.2102898,       0.9651776,       0.9651776,       0.0000000,       0.9651776
USIACURÍ,3,2,31,6,25,      12.8140887,      -0.2187993,       0.0027483,       0.7840278,      -0.0450998
USIACURÍ,4,3,31,8,23,      11.2516260,      -0.1272843,       0.2050370,       0.8821221,       0.1658637
USIACURÍ,5,4,31,10,21,       9.4761161,      -0.0774749,       0.3656203,       0.8707881,       0.3083671
USIACURÍ,6,5,31,12,19,       7.9007567,      -0.0377433,       0.5161256,       0.8821221,       0.4508367
USIACURÍ,2,1,31,4,27,      30.3196413,       0.4209036,       0.5316774,       0.5350482,       0.4801730
