municipio,año,periodo,periodo_continuo,casos,ciclo_vital_adolescencia,ciclo_vital_adulto,ciclo_vital_adulto_mayor,ciclo_vital_infante_mayor,ciclo_vital_infante_menor,regimen_salud_otro,regimen_salud_subsidiado,evento_grave,sexo_masculino,dist_rio,dist_lago,acueducto_porcentaje,PPC,Joinpoints,segmento,significancia,pvalor,temp_media_p3,precipitacion_p3,humedad_p3
BARANOA,2018,2,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.275986857905614,17.60367485448971,98.93,37.1287,4.0,0.0,1.0,0.024395,26.479134041922453,283.0499995946884,94.40619959150042
BARANOA,2018,4,4,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.275986857905614,17.60367485448971,98.93,37.1287,4.0,0.0,1.0,0.024395,26.81798285122577,74.21999877132475,91.6661711067989
BARANOA,2018,5,5,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.275986857905614,17.60367485448971,98.93,37.1287,4.0,0.0,1.0,0.024395,27.141193280901245,0.6100000180304047,83.70044299534389
BARANOA,2018,6,6,2,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.275986857905614,17.60367485448971,98.93,37.1287,4.0,0.0,1.0,0.024395,27.394740404401524,8.770000176504254,87.42167445591518
BARANOA,2018,7,7,3,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,1.275986857905614,17.60367485448971,98.93,37.1287,4.0,0.0,1.0,0.024395,27.58077774047854,90.41000029072164,87.58892985752651
BARANOA,2018,8,8,7,0.2857142857142857,0.0,0.0,0.7142857142857143,0.0,0.0,0.5714285714285714,0.1428571428571428,0.4285714285714285,1.275986857905614,17.60367485448971,98.93,37.1287,4.0,0.0,1.0,0.024395,27.06788242885047,324.8399974703789,91.75370952061245
BARANOA,2018,9,9,11,0.3636363636363636,0.0909090909090909,0.0,0.5454545454545454,0.0,0.0909090909090909,0.8181818181818182,0.0909090909090909,0.6363636363636364,1.275986857905614,17.60367485448971,98.93,37.1287,4.0,0.0,1.0,0.024395,27.402969796316984,273.3600022494793,92.12083625793456
BARANOA,2018,10,10,32,0.46875,0.09375,0.0,0.4375,0.0,0.03125,0.5,0.0625,0.34375,1.275986857905614,17.60367485448971,98.93,,4.0,0.0,1.0,0.024395,27.43353042602541,116.70000003650784,91.07329668317524
BARANOA,2018,11,11,24,0.6666666666666666,0.0833333333333333,0.0,0.25,0.0,0.0,0.5833333333333334,0.0,0.4583333333333333,1.275986857905614,17.60367485448971,98.93,0.4943,4.0,1.0,0.0,0.731054,27.476033782959007,163.66999774053693,91.86095809936523
BARANOA,2018,12,12,26,0.5384615384615384,0.2307692307692307,0.0,0.2307692307692307,0.0,0.0384615384615384,0.4230769230769231,0.0,0.6923076923076923,1.275986857905614,17.60367485448971,98.93,0.4943,4.0,1.0,0.0,0.731054,27.27013985770091,219.92000105977056,92.924711227417
BARANOA,2018,13,13,54,0.4629629629629629,0.074074074074074,0.0,0.4629629629629629,0.0,0.0185185185185185,0.6296296296296297,0.0,0.4814814814814814,1.275986857905614,17.60367485448971,98.93,0.4943,4.0,1.0,0.0,0.731054,26.92568795340404,355.24999698996544,94.24663734436037
BARANOA,2019,1,14,55,0.509090909090909,0.0727272727272727,0.0,0.4181818181818181,0.0,0.0363636363636363,0.6727272727272727,0.0181818181818181,0.4363636363636363,1.275986857905614,17.60367485448971,98.34,0.4943,4.0,1.0,0.0,0.731054,26.60924355643138,224.55999985337257,93.65927914210728
BARANOA,2019,2,15,15,0.4666666666666667,0.1333333333333333,0.0,0.4,0.0,0.0666666666666666,0.8666666666666667,0.0666666666666666,0.3333333333333333,1.275986857905614,17.60367485448971,98.34,0.4943,4.0,1.0,0.0,0.731054,26.938941846575077,127.41000089980662,93.3365263257708
BARANOA,2019,3,16,19,0.4210526315789473,0.0526315789473684,0.0,0.4736842105263157,0.0526315789473684,0.0,0.8421052631578947,0.0,0.5789473684210527,1.275986857905614,17.60367485448971,98.34,0.4943,4.0,1.0,0.0,0.731054,26.905938720703144,2.510000050067901,89.91791316441127
BARANOA,2019,4,17,2,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.275986857905614,17.60367485448971,98.34,0.4943,4.0,1.0,0.0,0.731054,26.80992726293106,118.41000193357468,88.40025145432045
BARANOA,2019,5,18,5,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,1.0,1.275986857905614,17.60367485448971,98.34,0.4943,4.0,1.0,0.0,0.731054,27.45373251778741,113.5200001001358,86.3767751966204
BARANOA,2019,6,19,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1.275986857905614,17.60367485448971,98.34,0.4943,4.0,1.0,0.0,0.731054,27.505668531145396,41.63000022247434,85.49825368608747
BARANOA,2019,7,20,6,0.5,0.0,0.0,0.5,0.0,0.0,0.8333333333333334,0.0,0.5,1.275986857905614,17.60367485448971,98.34,0.4943,4.0,1.0,0.0,0.731054,28.032634081159337,77.58000011742115,86.7098366873605
BARANOA,2019,8,21,15,0.3333333333333333,0.2,0.0666666666666666,0.4,0.0,0.1333333333333333,0.6,0.0666666666666666,0.5333333333333333,1.275986857905614,17.60367485448971,98.34,0.4943,4.0,1.0,0.0,0.731054,28.09017279488701,306.77999838627875,87.97534533909389
BARANOA,2019,9,22,27,0.5925925925925926,0.1111111111111111,0.0,0.2962962962962963,0.0,0.0,0.7777777777777778,0.037037037037037,0.5185185185185185,1.275986857905614,17.60367485448971,98.34,0.4943,4.0,1.0,0.0,0.731054,27.478135681152363,300.1600031852722,91.92778887067524
BARANOA,2019,10,23,42,0.6428571428571429,0.0476190476190476,0.0,0.3095238095238095,0.0,0.0476190476190476,0.8333333333333334,0.0,0.5476190476190477,1.275986857905614,17.60367485448971,98.34,0.4943,4.0,1.0,0.0,0.731054,28.090301949637297,136.60000302642584,89.51113646371024
BARANOA,2019,11,24,54,0.4814814814814814,0.1296296296296296,0.0,0.3888888888888889,0.0,0.0185185185185185,0.6666666666666666,0.0185185185185185,0.5,1.275986857905614,17.60367485448971,98.34,0.4943,4.0,1.0,0.0,0.731054,27.872403172084287,187.6899995803833,91.79050881522042
BARANOA,2019,12,25,67,0.5373134328358209,0.1194029850746268,0.0,0.3432835820895522,0.0,0.0298507462686567,0.7313432835820896,0.0298507462686567,0.5970149253731343,1.275986857905614,17.60367485448971,98.34,0.4943,4.0,1.0,0.0,0.731054,27.605354200090694,281.9300002157688,93.29074505397251
BARANOA,2019,13,26,85,0.5529411764705883,0.0588235294117647,0.0,0.388235294117647,0.0,0.0235294117647058,0.7058823529411765,0.0117647058823529,0.5411764705882353,1.275986857905614,17.60367485448971,98.34,0.4943,4.0,1.0,0.0,0.731054,26.913392094203424,277.7299993038177,94.32297216142926
BARANOA,2020,1,27,67,0.4477611940298507,0.1343283582089552,0.0,0.417910447761194,0.0,0.0895522388059701,0.6567164179104478,0.0,0.4029850746268656,1.275986857905614,17.60367485448971,98.71,0.4943,4.0,1.0,0.0,0.731054,26.33442513602122,349.7800031900406,94.77273777553012
BARANOA,2020,2,28,31,0.3548387096774194,0.1290322580645161,0.032258064516129,0.4838709677419355,0.0,0.064516129032258,0.6774193548387096,0.032258064516129,0.3548387096774194,1.275986857905614,17.60367485448971,98.71,0.4943,4.0,1.0,0.0,0.731054,26.82474452427457,343.8900002390146,92.9246926988874
BARANOA,2020,3,29,8,0.5,0.125,0.0,0.375,0.0,0.125,0.75,0.0,0.625,1.275986857905614,17.60367485448971,98.71,0.4943,4.0,1.0,0.0,0.731054,27.26763196672714,246.92999997921288,92.61376871381488
BARANOA,2020,4,30,4,0.25,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.25,1.275986857905614,17.60367485448971,98.71,0.4943,4.0,1.0,0.0,0.731054,27.15978686992941,28.47999998368323,87.84422801091121
BARANOA,2020,6,32,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.275986857905614,17.60367485448971,98.71,0.4943,4.0,1.0,0.0,0.731054,27.43780779157368,102.80000001192091,85.19356754847935
BARANOA,2020,8,34,7,0.5714285714285714,0.1428571428571428,0.0,0.2857142857142857,0.0,0.0,0.7142857142857143,0.1428571428571428,0.1428571428571428,1.275986857905614,17.60367485448971,98.71,0.4943,4.0,1.0,0.0,0.731054,28.576977212088472,197.13000002503395,87.57242665972028
BARANOA,2020,9,35,12,0.3333333333333333,0.1666666666666666,0.0,0.5,0.0,0.0833333333333333,0.75,0.0833333333333333,0.5833333333333334,1.275986857905614,17.60367485448971,98.71,0.4943,4.0,1.0,0.0,0.731054,27.64966463361469,379.4799978733063,90.6635434286935
