municipio,año,periodo,temp_media,humedad,precipitacion
BARANOA,2017,1,26.90306679861888,87.99012511117118,38.230000004172325
BARANOA,2017,2,27.375314331054707,87.08365631103516,186.3800000026822
BARANOA,2017,3,27.491560145786853,85.51247787475586,143.26000090315938
BARANOA,2017,4,28.25757860456196,87.3087215423584,279.1599998995662
BARANOA,2017,5,27.527520206996392,91.29583386012486,364.78999695181847
BARANOA,2017,6,27.489451708112465,91.57820456368583,325.0999993085861
BARANOA,2017,7,27.413776288713745,91.92748287745884,238.73000184446573
BARANOA,2017,8,27.288514164515927,93.25903756277901,310.23000115156174
BARANOA,2017,9,27.03669346400671,93.95962006705147,270.6300016492605
BARANOA,2017,10,26.769173104422457,94.87499182564872,309.7900011241436
BARANOA,2017,11,27.00847178867887,93.77760369437081,295.1900004297495
BARANOA,2017,12,26.479134041922453,94.40619959150042,283.0499995946884
BARANOA,2017,13,26.882251818426745,90.57895818249932,159.27000187337399
BARANOA,2018,1,26.81798285122577,91.6661711067989,74.21999877132475
BARANOA,2018,2,27.141193280901245,83.70044299534389,0.6100000180304047
BARANOA,2018,3,27.394740404401524,87.42167445591518,8.770000176504254
BARANOA,2018,4,27.58077774047854,87.58892985752651,90.41000029072165
BARANOA,2018,5,27.06788242885047,91.75370952061245,324.8399974703789
BARANOA,2018,6,27.402969796316984,92.12083625793457,273.3600022494793
BARANOA,2018,7,27.43353042602541,91.07329668317523,116.70000003650784
BARANOA,2018,8,27.476033782959007,91.86095809936523,163.66999774053693
BARANOA,2018,9,27.27013985770091,92.92471122741699,219.92000105977058
BARANOA,2018,10,26.925687953404037,94.24663734436035,355.24999698996544
BARANOA,2018,11,26.60924355643138,93.65927914210728,224.55999985337257
BARANOA,2018,12,26.938941846575073,93.33652632577079,127.41000089980662
BARANOA,2018,13,26.905938720703144,89.91791316441127,2.510000050067901
BARANOA,2019,1,26.80992726293106,88.40025145432045,118.41000193357468
BARANOA,2019,2,27.45373251778741,86.3767751966204,113.5200001001358
BARANOA,2019,3,27.505668531145393,85.49825368608747,41.63000022247434
BARANOA,2019,4,28.032634081159337,86.7098366873605,77.58000011742115
BARANOA,2019,5,28.090172794887014,87.97534533909389,306.77999838627875
BARANOA,2019,6,27.478135681152363,91.92778887067523,300.1600031852722
BARANOA,2019,7,28.090301949637297,89.51113646371024,136.60000302642584
BARANOA,2019,8,27.872403172084287,91.79050881522042,187.6899995803833
BARANOA,2019,9,27.605354200090698,93.29074505397251,281.9300002157688
BARANOA,2019,10,26.913392094203424,94.32297216142926,277.72999930381775
BARANOA,2019,11,26.33442513602122,94.77273777553013,349.7800031900406
BARANOA,2019,12,26.82474452427457,92.92469269888741,343.8900002390146
BARANOA,2019,13,27.26763196672714,92.61376871381488,246.92999997921288
BARANOA,2020,1,27.15978686992941,87.84422801091121,28.47999998368323
BARANOA,2020,2,27.632867431640644,86.21425819396973,110.07000000029802
BARANOA,2020,3,27.43780779157368,85.19356754847935,102.80000001192093
BARANOA,2020,4,28.18283724103657,86.42797797066825,78.43000086024404
BARANOA,2020,5,28.576977212088472,87.57242665972028,197.13000002503395
BARANOA,2020,6,27.649664633614695,90.6635434286935,379.4799978733063
BARANOA,2020,7,27.29018609183177,91.48245811462402,298.90000095777214
BARANOA,2020,8,27.379179164341537,93.56631660461426,224.23000040650368
BARANOA,2020,9,26.76524723597937,94.11125700814384,404.9800003170967
BARANOA,2020,10,26.66851959228518,94.52493095397949,418.010000705719
BARANOA,2020,11,26.134415653773736,93.92731475830078,392.63000002503395
BARANOA,2020,12,25.855223410470163,94.14801733834403,319.51000288128853
BARANOA,2020,13,26.499875095912408,92.19226946149554,164.77000004053116
BARANOA,2020,14,26.521653747558616,90.27071952819824,39.0
BARANOA,2021,1,27.009339359828424,87.64010047912598,40.04000097513199
BARANOA,2021,2,27.67205963134768,85.75867325919015,147.57000094652176
BARANOA,2021,3,27.511402021135627,84.15958431788853,132.83999998494983
BARANOA,2021,4,27.448740713936964,88.38417298453194,190.99999993667006
BARANOA,2021,5,27.280464063371948,89.21697044372559,194.65000399947166
BARANOA,2021,6,27.05694732666018,91.14154706682477,366.9700001478195
BARANOA,2021,7,26.980260467529316,91.98742539542062,256.3399994149804
BARANOA,2021,8,27.08102188110354,91.99444144112724,256.28999857604504
BARANOA,2021,9,26.366769409179707,94.22322763715472,444.4299968481064
BARANOA,2021,10,26.796524483816984,93.14270155770438,286.88999949768186
BARANOA,2021,11,26.33740059988841,93.78765187944684,358.7700027227402
BARANOA,2021,12,26.530353437151245,93.40439632960728,229.4100041091442
BARANOA,2021,13,26.866573979304405,91.28664838350736,76.80999996885657
BARANOA,2021,14,26.812824503580742,88.73914845784505,17.0
BARANOA,2022,1,26.82930799211777,88.59259605407715,198.44000286608934
BARANOA,2022,2,27.28082536969868,85.58803830827985,83.33000010251999
BARANOA,2022,3,27.738884953090142,86.94763674054828,158.99000097066164
BARANOA,2022,4,27.52713001796179,88.81022616795131,227.59000140428543
BARANOA,2022,5,27.270310974121113,91.4297297341483,250.32999855279922
BARANOA,2022,6,26.749581909179707,92.86189542497907,458.11999917030334
BARANOA,2022,7,27.160393742152642,93.29742813110352,308.3199996352196
BARANOA,2022,8,27.07850309099472,93.78088787623814,455.23000079393387
BARANOA,2022,9,26.96498859950476,94.79662840706962,368.80999743938446
BARANOA,2022,10,26.299982779366648,94.78753689357212,350.79999828338623
