municipio,año,humedad_relativa,precipitacion,temp_max,temp_min
ALBANIA,2017,0.0,0.0,0.0,0.0
ALBANIA,2017,0.0,0.0,0.0,0.0
ALBANIA,2017,0.0,0.0,0.0,0.0
ALBANIA,2017,0.0,0.0,0.0,0.0
ALBANIA,2017,0.0,0.0,0.0,0.0
ALBANIA,2017,0.0,0.0,0.0,0.0
ALBANIA,2017,0.0,0.0,0.0,0.0
ALBANIA,2017,0.0,0.0,0.0,0.0
ALBANIA,2017,0.0,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,53.35,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2017,88.38,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,0.0,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,237338.67,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2018,0.0,879696.39,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2019,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2020,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2021,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
ALBANIA,2022,0.0,0.0,0.0,0.0
