municipio,año,fecha,humedad,latitud,longitud
BARRANQUILLA,2017,2017-01-01,84.95096588134766,10.98152771823087,-74.82774915964693
BARANOA,2017,2017-01-01,87.14942932128906,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2017,2017-01-01,86.01844787597656,10.402620855645086,-74.87840832085742
CANDELARIA,2017,2017-01-01,87.42163848876953,10.489019585448387,-74.87756539446083
GALAPA,2017,2017-01-01,87.40320587158203,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2017,2017-01-01,86.84004211425781,10.823092520111464,-75.07842405936859
LURUACO,2017,2017-01-01,87.37913174099391,10.635031161141915,-75.15402741021481
MALAMBO,2017,2017-01-01,86.98050181070964,10.848289285861629,-74.8061750526255
MANATÍ,2017,2017-01-01,87.06470489501953,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2017,2017-01-01,88.09615325927734,10.694812386323434,-74.77015084732946
PIOJÓ,2017,2017-01-01,87.1802933304398,10.740779525620145,-75.14364579776823
POLONUEVO,2017,2017-01-01,87.16371663411458,10.767401673530337,-74.85414835065527
PONEDERA,2017,2017-01-01,90.04708862304688,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2017,2017-01-01,85.10214233398438,11.00468737217774,-74.90650030692068
REPELÓN,2017,2017-01-01,87.4731612028899,10.507568372875568,-75.12187933511093
SABANAGRANDE,2017,2017-01-01,86.24556732177734,10.798940150928054,-74.76879660339148
SABANALARGA,2017,2017-01-01,87.97564697265625,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2017,2017-01-01,86.61757405598958,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2017,2017-01-01,87.16371663411458,10.744048200714978,-74.79479581261772
SOLEDAD,2017,2017-01-01,87.29273223876953,10.906909741834337,-74.77842447604834
SUAN,2017,2017-01-01,86.76956939697266,10.310850238176537,-74.90713309116475
TUBARÁ,2017,2017-01-01,88.4695816040039,10.907060348938533,-74.98448392990626
USIACURÍ,2017,2017-01-01,87.3217061360677,10.740522656584362,-74.98267412624779
BARRANQUILLA,2017,2017-01-02,81.08457946777344,10.98152771823087,-74.82774915964693
BARANOA,2017,2017-01-02,84.2271728515625,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2017,2017-01-02,84.24759674072266,10.402620855645086,-74.87840832085742
CANDELARIA,2017,2017-01-02,85.70783996582031,10.489019585448387,-74.87756539446083
GALAPA,2017,2017-01-02,84.02125549316406,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2017,2017-01-02,83.05254364013672,10.823092520111464,-75.07842405936859
LURUACO,2017,2017-01-02,84.13360595703125,10.635031161141915,-75.15402741021481
MALAMBO,2017,2017-01-02,83.9808349609375,10.848289285861629,-74.8061750526255
MANATÍ,2017,2017-01-02,85.33650207519531,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2017,2017-01-02,86.07841491699219,10.694812386323434,-74.77015084732946
PIOJÓ,2017,2017-01-02,83.78104909261067,10.740779525620145,-75.14364579776823
POLONUEVO,2017,2017-01-02,84.62772623697917,10.767401673530337,-74.85414835065527
PONEDERA,2017,2017-01-02,88.45549011230469,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2017,2017-01-02,81.31800842285156,11.00468737217774,-74.90650030692068
REPELÓN,2017,2017-01-02,84.88712819417317,10.507568372875568,-75.12187933511093
SABANAGRANDE,2017,2017-01-02,83.57759094238281,10.798940150928054,-74.76879660339148
SABANALARGA,2017,2017-01-02,85.19127655029297,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2017,2017-01-02,84.93289184570312,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2017,2017-01-02,84.62772623697917,10.744048200714978,-74.79479581261772
SOLEDAD,2017,2017-01-02,84.34365844726562,10.906909741834337,-74.77842447604834
SUAN,2017,2017-01-02,85.2145767211914,10.310850238176537,-74.90713309116475
TUBARÁ,2017,2017-01-02,84.28177642822266,10.907060348938533,-74.98448392990626
USIACURÍ,2017,2017-01-02,84.15699768066406,10.740522656584362,-74.98267412624779
BARRANQUILLA,2017,2017-01-03,77.65013122558594,10.98152771823087,-74.82774915964693
BARANOA,2017,2017-01-03,82.12333679199219,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2017,2017-01-03,82.14745330810547,10.402620855645086,-74.87840832085742
CANDELARIA,2017,2017-01-03,83.67538452148438,10.489019585448387,-74.87756539446083
GALAPA,2017,2017-01-03,81.01604461669922,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2017,2017-01-03,79.94725799560547,10.823092520111464,-75.07842405936859
LURUACO,2017,2017-01-03,81.55815124511719,10.635031161141915,-75.15402741021481
MALAMBO,2017,2017-01-03,81.46386973063152,10.848289285861629,-74.8061750526255
MANATÍ,2017,2017-01-03,82.613525390625,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2017,2017-01-03,84.62147521972656,10.694812386323434,-74.77015084732946
PIOJÓ,2017,2017-01-03,81.0682856241862,10.740779525620145,-75.14364579776823
POLONUEVO,2017,2017-01-03,82.79966481526692,10.767401673530337,-74.85414835065527
PONEDERA,2017,2017-01-03,86.9924087524414,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2017,2017-01-03,77.9654769897461,11.00468737217774,-74.90650030692068
REPELÓN,2017,2017-01-03,82.39980824788411,10.507568372875568,-75.12187933511093
SABANAGRANDE,2017,2017-01-03,81.65418243408203,10.798940150928054,-74.76879660339148
SABANALARGA,2017,2017-01-03,83.02774810791016,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2017,2017-01-03,82.71042124430339,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2017,2017-01-03,82.79966481526692,10.744048200714978,-74.79479581261772
SOLEDAD,2017,2017-01-03,81.72138214111328,10.906909741834337,-74.77842447604834
SUAN,2017,2017-01-03,83.37028503417969,10.310850238176537,-74.90713309116475
TUBARÁ,2017,2017-01-03,80.53849029541016,10.907060348938533,-74.98448392990626
USIACURÍ,2017,2017-01-03,81.69944763183594,10.740522656584362,-74.98267412624779
BARRANQUILLA,2017,2017-01-04,87.0206069946289,10.98152771823087,-74.82774915964693
BARANOA,2017,2017-01-04,93.48560333251952,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2017,2017-01-04,90.7297592163086,10.402620855645086,-74.87840832085742
CANDELARIA,2017,2017-01-04,91.97863006591795,10.489019585448387,-74.87756539446083
GALAPA,2017,2017-01-04,89.17609405517578,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2017,2017-01-04,91.94029235839844,10.823092520111464,-75.07842405936859
LURUACO,2017,2017-01-04,92.44372304280598,10.635031161141915,-75.15402741021481
MALAMBO,2017,2017-01-04,89.98677571614583,10.848289285861629,-74.8061750526255
MANATÍ,2017,2017-01-04,90.51934814453124,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2017,2017-01-04,92.40886688232422,10.694812386323434,-74.77015084732946
PIOJÓ,2017,2017-01-04,92.36273617214626,10.740779525620145,-75.14364579776823
POLONUEVO,2017,2017-01-04,92.62880452473958,10.767401673530337,-74.85414835065527
PONEDERA,2017,2017-01-04,93.76483154296876,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2017,2017-01-04,87.14612579345703,11.00468737217774,-74.90650030692068
REPELÓN,2017,2017-01-04,91.88325161404079,10.507568372875568,-75.12187933511093
SABANAGRANDE,2017,2017-01-04,91.991943359375,10.798940150928054,-74.76879660339148
SABANALARGA,2017,2017-01-04,92.68668365478516,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2017,2017-01-04,90.71728515625,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2017,2017-01-04,92.62880452473958,10.744048200714978,-74.79479581261772
SOLEDAD,2017,2017-01-04,88.79228973388672,10.906909741834337,-74.77842447604834
SUAN,2017,2017-01-04,90.90274810791016,10.310850238176537,-74.90713309116475
TUBARÁ,2017,2017-01-04,89.29998779296875,10.907060348938533,-74.98448392990626
USIACURÍ,2017,2017-01-04,92.70419311523438,10.740522656584362,-74.98267412624779
BARRANQUILLA,2017,2017-01-05,86.9337158203125,10.98152771823087,-74.82774915964693
BARANOA,2017,2017-01-05,90.5981674194336,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2017,2017-01-05,87.99259948730469,10.402620855645086,-74.87840832085742
CANDELARIA,2017,2017-01-05,89.32977294921875,10.489019585448387,-74.87756539446083
GALAPA,2017,2017-01-05,89.09066009521484,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2017,2017-01-05,90.68359375,10.823092520111464,-75.07842405936859
LURUACO,2017,2017-01-05,90.7987560696072,10.635031161141915,-75.15402741021481
MALAMBO,2017,2017-01-05,89.0496826171875,10.848289285861629,-74.8061750526255
MANATÍ,2017,2017-01-05,88.57008361816406,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2017,2017-01-05,90.4149932861328,10.694812386323434,-74.77015084732946
PIOJÓ,2017,2017-01-05,90.74365290889033,10.740779525620145,-75.14364579776823
POLONUEVO,2017,2017-01-05,90.12293497721356,10.767401673530337,-74.85414835065527
PONEDERA,2017,2017-01-05,91.81785583496094,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2017,2017-01-05,87.07699584960938,11.00468737217774,-74.90650030692068
REPELÓN,2017,2017-01-05,90.11096841317635,10.507568372875568,-75.12187933511093
SABANAGRANDE,2017,2017-01-05,89.35564422607422,10.798940150928054,-74.76879660339148
SABANALARGA,2017,2017-01-05,90.9640655517578,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2017,2017-01-05,88.35383860270183,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2017,2017-01-05,90.12293497721356,10.744048200714978,-74.79479581261772
SOLEDAD,2017,2017-01-05,88.70274353027344,10.906909741834337,-74.77842447604834
SUAN,2017,2017-01-05,88.49883270263672,10.310850238176537,-74.90713309116475
TUBARÁ,2017,2017-01-05,89.75015258789062,10.907060348938533,-74.98448392990626
USIACURÍ,2017,2017-01-05,90.7486089070638,10.740522656584362,-74.98267412624779
BARRANQUILLA,2017,2017-01-06,88.914794921875,10.98152771823087,-74.82774915964693
BARANOA,2017,2017-01-06,93.02067565917967,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2017,2017-01-06,90.04175567626953,10.402620855645086,-74.87840832085742
CANDELARIA,2017,2017-01-06,91.31208038330078,10.489019585448387,-74.87756539446083
GALAPA,2017,2017-01-06,90.81102752685548,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2017,2017-01-06,92.06168365478516,10.823092520111464,-75.07842405936859
LURUACO,2017,2017-01-06,92.37740580240886,10.635031161141915,-75.15402741021481
MALAMBO,2017,2017-01-06,90.85171508789062,10.848289285861629,-74.8061750526255
MANATÍ,2017,2017-01-06,89.68608093261719,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2017,2017-01-06,92.0704116821289,10.694812386323434,-74.77015084732946
PIOJÓ,2017,2017-01-06,92.32577090793187,10.740779525620145,-75.14364579776823
POLONUEVO,2017,2017-01-06,92.21592203776042,10.767401673530337,-74.85414835065527
PONEDERA,2017,2017-01-06,93.33997344970705,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2017,2017-01-06,89.0194091796875,11.00468737217774,-74.90650030692068
REPELÓN,2017,2017-01-06,91.5319324069553,10.507568372875568,-75.12187933511093
SABANAGRANDE,2017,2017-01-06,91.55667877197266,10.798940150928054,-74.76879660339148
SABANALARGA,2017,2017-01-06,92.53231048583984,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2017,2017-01-06,90.00823720296223,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2017,2017-01-06,92.21592203776042,10.744048200714978,-74.79479581261772
SOLEDAD,2017,2017-01-06,90.18743896484376,10.906909741834337,-74.77842447604834
SUAN,2017,2017-01-06,90.296875,10.310850238176537,-74.90713309116475
TUBARÁ,2017,2017-01-06,90.95932006835938,10.907060348938533,-74.98448392990626
USIACURÍ,2017,2017-01-06,92.53822326660156,10.740522656584362,-74.98267412624779
BARRANQUILLA,2017,2017-01-07,86.3658218383789,10.98152771823087,-74.82774915964693
BARANOA,2017,2017-01-07,91.00971221923828,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2017,2017-01-07,87.53132629394531,10.402620855645086,-74.87840832085742
CANDELARIA,2017,2017-01-07,88.88261413574219,10.489019585448387,-74.87756539446083
GALAPA,2017,2017-01-07,88.5781478881836,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2017,2017-01-07,89.90269470214844,10.823092520111464,-75.07842405936859
LURUACO,2017,2017-01-07,90.42397138807507,10.635031161141915,-75.15402741021481
MALAMBO,2017,2017-01-07,88.84367116292317,10.848289285861629,-74.8061750526255
MANATÍ,2017,2017-01-07,89.6490249633789,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2017,2017-01-07,90.6771011352539,10.694812386323434,-74.77015084732946
PIOJÓ,2017,2017-01-07,90.29902422869645,10.740779525620145,-75.14364579776823
POLONUEVO,2017,2017-01-07,90.4681905110677,10.767401673530337,-74.85414835065527
PONEDERA,2017,2017-01-07,91.75018310546876,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2017,2017-01-07,86.53538513183594,11.00468737217774,-74.90650030692068
REPELÓN,2017,2017-01-07,90.29060307255497,10.507568372875568,-75.12187933511093
SABANAGRANDE,2017,2017-01-07,89.71775817871094,10.798940150928054,-74.76879660339148
SABANALARGA,2017,2017-01-07,90.79881286621094,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2017,2017-01-07,88.42416636149089,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2017,2017-01-07,90.4681905110677,10.744048200714978,-74.79479581261772
SOLEDAD,2017,2017-01-07,88.235107421875,10.906909741834337,-74.77842447604834
SUAN,2017,2017-01-07,88.09214782714844,10.310850238176537,-74.90713309116475
TUBARÁ,2017,2017-01-07,88.30603790283203,10.907060348938533,-74.98448392990626
USIACURÍ,2017,2017-01-07,90.57040659586588,10.740522656584362,-74.98267412624779
BARRANQUILLA,2017,2017-01-08,86.8116683959961,10.98152771823087,-74.82774915964693
BARANOA,2017,2017-01-08,88.41830444335938,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2017,2017-01-08,86.0250015258789,10.402620855645086,-74.87840832085742
CANDELARIA,2017,2017-01-08,87.4247817993164,10.489019585448387,-74.87756539446083
GALAPA,2017,2017-01-08,88.95736694335938,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2017,2017-01-08,88.43324279785156,10.823092520111464,-75.07842405936859
LURUACO,2017,2017-01-08,88.73262871636285,10.635031161141915,-75.15402741021481
MALAMBO,2017,2017-01-08,88.28558858235677,10.848289285861629,-74.8061750526255
MANATÍ,2017,2017-01-08,87.93740844726562,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2017,2017-01-08,88.88607025146484,10.694812386323434,-74.77015084732946
PIOJÓ,2017,2017-01-08,88.60663972077548,10.740779525620145,-75.14364579776823
POLONUEVO,2017,2017-01-08,88.21838633219402,10.767401673530337,-74.85414835065527
PONEDERA,2017,2017-01-08,90.36121368408205,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2017,2017-01-08,86.98085021972656,11.00468737217774,-74.90650030692068
REPELÓN,2017,2017-01-08,88.59354428891783,10.507568372875568,-75.12187933511093
SABANAGRANDE,2017,2017-01-08,87.35078430175781,10.798940150928054,-74.76879660339148
SABANALARGA,2017,2017-01-08,89.110595703125,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2017,2017-01-08,86.91065216064453,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2017,2017-01-08,88.21838633219402,10.744048200714978,-74.79479581261772
SOLEDAD,2017,2017-01-08,88.54861450195312,10.906909741834337,-74.77842447604834
SUAN,2017,2017-01-08,86.76954650878906,10.310850238176537,-74.90713309116475
TUBARÁ,2017,2017-01-08,89.28812408447266,10.907060348938533,-74.98448392990626
USIACURÍ,2017,2017-01-08,88.65404764811198,10.740522656584362,-74.98267412624779
BARRANQUILLA,2017,2017-01-09,85.04924011230469,10.98152771823087,-74.82774915964693
BARANOA,2017,2017-01-09,85.39044952392578,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2017,2017-01-09,82.17910766601562,10.402620855645086,-74.87840832085742
CANDELARIA,2017,2017-01-09,83.70272064208984,10.489019585448387,-74.87756539446083
GALAPA,2017,2017-01-09,87.4126205444336,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2017,2017-01-09,84.25828552246094,10.823092520111464,-75.07842405936859
LURUACO,2017,2017-01-09,85.21433936225043,10.635031161141915,-75.15402741021481
MALAMBO,2017,2017-01-09,86.4023208618164,10.848289285861629,-74.8061750526255
MANATÍ,2017,2017-01-09,83.56550598144531,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2017,2017-01-09,86.80684661865234,10.694812386323434,-74.77015084732946
PIOJÓ,2017,2017-01-09,84.91033059579354,10.740779525620145,-75.14364579776823
POLONUEVO,2017,2017-01-09,85.5968755086263,10.767401673530337,-74.85414835065527
PONEDERA,2017,2017-01-09,87.96273803710938,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2017,2017-01-09,85.2514877319336,11.00468737217774,-74.90650030692068
REPELÓN,2017,2017-01-09,84.96873700177228,10.507568372875568,-75.12187933511093
SABANAGRANDE,2017,2017-01-09,84.59333038330078,10.798940150928054,-74.76879660339148
SABANALARGA,2017,2017-01-09,86.1263656616211,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2017,2017-01-09,83.04442087809245,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2017,2017-01-09,85.5968755086263,10.744048200714978,-74.79479581261772
SOLEDAD,2017,2017-01-09,87.20101165771484,10.906909741834337,-74.77842447604834
SUAN,2017,2017-01-09,83.3886489868164,10.310850238176537,-74.90713309116475
TUBARÁ,2017,2017-01-09,86.78829193115234,10.907060348938533,-74.98448392990626
USIACURÍ,2017,2017-01-09,85.25836690266927,10.740522656584362,-74.98267412624779
BARRANQUILLA,2017,2017-01-10,81.9531478881836,10.98152771823087,-74.82774915964693
BARANOA,2017,2017-01-10,83.8380355834961,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2017,2017-01-10,82.00078582763672,10.402620855645086,-74.87840832085742
CANDELARIA,2017,2017-01-10,83.5299301147461,10.489019585448387,-74.87756539446083
GALAPA,2017,2017-01-10,84.70252990722656,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2017,2017-01-10,82.73748779296875,10.823092520111464,-75.07842405936859
LURUACO,2017,2017-01-10,83.79717593722874,10.635031161141915,-75.15402741021481
MALAMBO,2017,2017-01-10,84.23628234863281,10.848289285861629,-74.8061750526255
MANATÍ,2017,2017-01-10,83.45108032226562,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2017,2017-01-10,85.72774505615234,10.694812386323434,-74.77015084732946
PIOJÓ,2017,2017-01-10,83.44735152633103,10.740779525620145,-75.14364579776823
POLONUEVO,2017,2017-01-10,84.24578603108723,10.767401673530337,-74.85414835065527
PONEDERA,2017,2017-01-10,87.39852905273438,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2017,2017-01-10,82.23082733154297,11.00468737217774,-74.90650030692068
REPELÓN,2017,2017-01-10,84.03163514313876,10.507568372875568,-75.12187933511093
SABANAGRANDE,2017,2017-01-10,83.17157745361328,10.798940150928054,-74.76879660339148
SABANALARGA,2017,2017-01-10,84.84664916992188,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2017,2017-01-10,82.89486694335938,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2017,2017-01-10,84.24578603108723,10.744048200714978,-74.79479581261772
SOLEDAD,2017,2017-01-10,84.8347396850586,10.906909741834337,-74.77842447604834
SUAN,2017,2017-01-10,83.23273468017578,10.310850238176537,-74.90713309116475
TUBARÁ,2017,2017-01-10,84.0668716430664,10.907060348938533,-74.98448392990626
USIACURÍ,2017,2017-01-10,83.80739084879558,10.740522656584362,-74.98267412624779
BARRANQUILLA,2017,2017-01-11,77.06047821044922,10.98152771823087,-74.82774915964693
BARANOA,2017,2017-01-11,84.49224090576172,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2017,2017-01-11,86.12068939208984,10.402620855645086,-74.87840832085742
CANDELARIA,2017,2017-01-11,87.51544189453125,10.489019585448387,-74.87756539446083
GALAPA,2017,2017-01-11,80.42000579833984,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2017,2017-01-11,82.91887664794922,10.823092520111464,-75.07842405936859
LURUACO,2017,2017-01-11,84.10049353705512,10.635031161141915,-75.15402741021481
MALAMBO,2017,2017-01-11,81.76190948486328,10.848289285861629,-74.8061750526255
MANATÍ,2017,2017-01-11,85.67202758789062,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2017,2017-01-11,86.16699981689453,10.694812386323434,-74.77015084732946
PIOJÓ,2017,2017-01-11,83.73926685474537,10.740779525620145,-75.14364579776823
POLONUEVO,2017,2017-01-11,84.80676523844402,10.767401673530337,-74.85414835065527
PONEDERA,2017,2017-01-11,89.15388488769531,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2017,2017-01-11,77.43050384521484,11.00468737217774,-74.90650030692068
REPELÓN,2017,2017-01-11,84.9855649029767,10.507568372875568,-75.12187933511093
SABANAGRANDE,2017,2017-01-11,83.76105499267578,10.798940150928054,-74.76879660339148
SABANALARGA,2017,2017-01-11,85.18417358398438,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2017,2017-01-11,86.21350351969402,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2017,2017-01-11,84.80676523844402,10.744048200714978,-74.79479581261772
SOLEDAD,2017,2017-01-11,81.10466766357422,10.906909741834337,-74.77842447604834
SUAN,2017,2017-01-11,86.84779357910156,10.310850238176537,-74.90713309116475
TUBARÁ,2017,2017-01-11,81.69378662109375,10.907060348938533,-74.98448392990626
USIACURÍ,2017,2017-01-11,84.19843037923177,10.740522656584362,-74.98267412624779
BARRANQUILLA,2017,2017-01-12,82.35127258300781,10.98152771823087,-74.82774915964693
BARANOA,2017,2017-01-12,85.74337005615234,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2017,2017-01-12,86.12051391601562,10.402620855645086,-74.87840832085742
CANDELARIA,2017,2017-01-12,87.5150375366211,10.489019585448387,-74.87756539446083
GALAPA,2017,2017-01-12,85.0250473022461,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2017,2017-01-12,84.48637390136719,10.823092520111464,-75.07842405936859
LURUACO,2017,2017-01-12,85.45082177056207,10.635031161141915,-75.15402741021481
MALAMBO,2017,2017-01-12,84.9995625813802,10.848289285861629,-74.8061750526255
MANATÍ,2017,2017-01-12,86.39210510253906,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2017,2017-01-12,87.0089111328125,10.694812386323434,-74.77015084732946
