"departamento","periodo","casos_obs","casos_esp","REM"
"AMAZONAS","2013-2016",11,12.4936953498519,0.880444071347582
"AMAZONAS","2017-2020",4,4.69463146621963,0.852037061648422
"AMAZONAS","2021-2023",7,6.35513971806426,1.10147066949649
"ANTIOQUIA","2013-2016",477,1064.5362575442,0.448082436478399
"ANTIOQUIA","2017-2020",145,392.209546345855,0.369700333280866
"ANTIOQUIA","2021-2023",155,524.598256210133,0.29546419219875
"ARAUCA","2013-2016",133,41.6219616902666,3.19542843726903
"ARAUCA","2017-2020",34,15.9724678730268,2.12866291360128
"ARAUCA","2021-2023",13,21.2646395418152,0.611343539326709
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","2013-2016",7,10.7827871131675,0.649182806498323
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","2017-2020",2,3.71459737473227,0.538416360708312
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","2021-2023",1,4.85838043765915,0.205829908306196
"ATLÁNTICO","2013-2016",415,415.395361945948,0.999048227346362
"ATLÁNTICO","2017-2020",187,157.010623516121,1.19100221254009
"ATLÁNTICO","2021-2023",608,214.92087566406,2.82894808669194
"BOGOTÁ, D.C.","2013-2016",14,1272.08861313664,0.0110055226148748
"BOGOTÁ, D.C.","2017-2020",0,454.143133692715,0
"BOGOTÁ, D.C.","2021-2023",0,607.232297730498,0
"BOLÍVAR","2013-2016",387,346.935906115378,1.11547981393225
"BOLÍVAR","2017-2020",231,126.88697846018,1.82051777734225
"BOLÍVAR","2021-2023",556,169.927387801403,3.27198580048677
"BOYACÁ","2013-2016",45,208.291716617201,0.216043156832305
"BOYACÁ","2017-2020",13,74.2313339918205,0.175128201271884
"BOYACÁ","2021-2023",7,98.1488183794907,0.071320267687122
"CALDAS","2013-2016",60,172.514568456739,0.347796713847074
"CALDAS","2017-2020",13,60.8930828465527,0.21348894475846
"CALDAS","2021-2023",4,80.5074284085929,0.0496848561563676
"CAQUETÁ","2013-2016",53,69.6968248815929,0.760436362632602
"CAQUETÁ","2017-2020",61,24.455519832183,2.49432440686561
"CAQUETÁ","2021-2023",32,32.4233516720531,0.986943000947741
"CASANARE","2013-2016",74,68.3380232868848,1.08285250934675
"CASANARE","2017-2020",64,25.9022066449872,2.4708319594997
"CASANARE","2021-2023",109,35.3064320618931,3.08725616366219
"CAUCA","2013-2016",65,246.791570301832,0.263380146738819
"CAUCA","2017-2020",33,89.5034680382439,0.368700797000396
"CAUCA","2021-2023",28,120.029777754348,0.233275446508821
"CESAR","2013-2016",351,192.335399956922,1.82493706347669
"CESAR","2017-2020",108,75.3019007161165,1.43422674557915
"CESAR","2021-2023",300,107.079209998423,2.80166430070243
"CHOCÓ","2013-2016",21,87.6731112359254,0.239526118144589
"CHOCÓ","2017-2020",8,32.8020542179659,0.243887164713554
"CHOCÓ","2021-2023",32,44.3392552953575,0.721708106887184
"CUNDINAMARCA","2013-2016",250,429.930593212671,0.581489207669234
"CUNDINAMARCA","2017-2020",56,182.955491811547,0.306085373253964
"CUNDINAMARCA","2021-2023",45,257.451888530121,0.174789939420993
