municipio,año,fecha,temp_max,latitud,longitud
BARRANQUILLA,2017,2017-01-01,302.48394775390625,10.98152771823087,-74.82774915964693
BARANOA,2017,2017-01-01,303.8229064941406,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2017,2017-01-01,306.5323486328125,10.402620855645086,-74.87840832085742
CANDELARIA,2017,2017-01-01,306.2099609375,10.489019585448387,-74.87756539446083
GALAPA,2017,2017-01-01,302.9057922363281,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2017,2017-01-01,303.27398681640625,10.823092520111464,-75.07842405936859
LURUACO,2017,2017-01-01,303.7858106825087,10.635031161141915,-75.15402741021481
MALAMBO,2017,2017-01-01,303.5922546386719,10.848289285861629,-74.8061750526255
MANATÍ,2017,2017-01-01,305.58367919921875,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2017,2017-01-01,304.8642272949219,10.694812386323434,-74.77015084732946
PIOJÓ,2017,2017-01-01,303.61829404477726,10.740779525620145,-75.14364579776823
POLONUEVO,2017,2017-01-01,304.39365641276044,10.767401673530337,-74.85414835065527
PONEDERA,2017,2017-01-01,305.706787109375,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2017,2017-01-01,302.1495056152344,11.00468737217774,-74.90650030692068
REPELÓN,2017,2017-01-01,304.5526168258102,10.507568372875568,-75.12187933511093
SABANAGRANDE,2017,2017-01-01,304.49383544921875,10.798940150928054,-74.76879660339148
SABANALARGA,2017,2017-01-01,304.2883605957031,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2017,2017-01-01,306.20237223307294,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2017,2017-01-01,304.39365641276044,10.744048200714978,-74.79479581261772
SOLEDAD,2017,2017-01-01,303.37713623046875,10.906909741834337,-74.77842447604834
SUAN,2017,2017-01-01,306.4910888671875,10.310850238176537,-74.90713309116475
TUBARÁ,2017,2017-01-01,302.1831359863281,10.907060348938533,-74.98448392990626
USIACURÍ,2017,2017-01-01,303.7950846354167,10.740522656584362,-74.98267412624779
BARRANQUILLA,2017,2017-01-02,302.2852478027344,10.98152771823087,-74.82774915964693
BARANOA,2017,2017-01-02,303.1839294433594,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2017,2017-01-02,306.0769348144531,10.402620855645086,-74.87840832085742
CANDELARIA,2017,2017-01-02,305.7752380371094,10.489019585448387,-74.87756539446083
GALAPA,2017,2017-01-02,302.74444580078125,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2017,2017-01-02,302.54510498046875,10.823092520111464,-75.07842405936859
LURUACO,2017,2017-01-02,303.05857679579,10.635031161141915,-75.15402741021481
MALAMBO,2017,2017-01-02,303.2591959635417,10.848289285861629,-74.8061750526255
MANATÍ,2017,2017-01-02,304.7613525390625,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2017,2017-01-02,304.1726379394531,10.694812386323434,-74.77015084732946
PIOJÓ,2017,2017-01-02,302.8978655779804,10.740779525620145,-75.14364579776823
POLONUEVO,2017,2017-01-02,303.72666422526044,10.767401673530337,-74.85414835065527
PONEDERA,2017,2017-01-02,305.1312255859375,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2017,2017-01-02,301.9552001953125,11.00468737217774,-74.90650030692068
REPELÓN,2017,2017-01-02,303.7868799280238,10.507568372875568,-75.12187933511093
SABANAGRANDE,2017,2017-01-02,303.82342529296875,10.798940150928054,-74.76879660339148
SABANALARGA,2017,2017-01-02,303.54071044921875,10.62250793138987,-74.95510483828492
