"municipio","año","casos","poblacion","esperado","REM"
"SOLEDAD","2018",10,603998,10.3544235540539,0.965770807790152
"SOLEDAD","2019",5,627273,15.086973906926,0.331411721849976
"SOLEDAD","2020",7,653377,10.3935678912277,0.673493459922275
"SOLEDAD","2021",33,670454,34.031854354312,0.969679749343977
"SOLEDAD","2022",74,683762,95.9449713520624,0.771275440048472
"SUAN","2017",0,11696,0.0940934176441248,0
"SUAN","2018",0,11937,0.204637687483636,0
"SUAN","2019",0,12350,0.297038335382737,0
"SUAN","2020",0,12827,0.204044977617482,0
"SUAN","2021",0,13192,0.669618232782688,0
"SUAN","2022",4,13503,1.89473083933722,2.11111779940163
"TUBARÁ","2017",1,16827,0.135371916783318,7.38705651631307
"TUBARÁ","2018",0,17376,0.297879237473039,0
"TUBARÁ","2019",1,17949,0.431703731318604,2.31640342080339
"TUBARÁ","2020",1,18586,0.295656034458449,3.38230877591149
"TUBARÁ","2021",0,19036,0.96625626737805,0
"TUBARÁ","2022",2,19376,2.71882579745227,0.735611675405662
"USIACURÍ","2017",0,11888,0.0956380428311693,0
"USIACURÍ","2018",0,12261,0.21019206553044,0
"USIACURÍ","2019",1,12771,0.307164095641534,3.25558883407721
"USIACURÍ","2020",0,13321,0.211903262402937,0
"USIACURÍ","2021",0,13795,0.700226161403667,0
"USIACURÍ","2022",0,14221,1.99548006118749,0
